card_id,name,trigger,timing,source_zone,target_zone,target_scope,condition_signals,cost_signals,output_signals,restriction_breaks,repeatability,uncertainty,vulnerability,win_contribution,matchup_roles,earliest_turn,state_delta_json,created_at,updated_at
100,蒼天の守護者ラ・ウラ・ギガ,使用時,early,,,opponent,,low_cost,,,single_use_or_static,deterministic_or_text_unknown,,,anti_aggro,1,"{""action_window"": 0, ""alternate_win_progress"": 0, ""attack_permission"": -2, ""board"": 0, ""board_persistence"": 0, ""cast_permission"": 0, ""damage_pressure"": 0, ""deck_out_prevention"": 0, ""defense"": 1, ""disruption"": 0, ""effect_permission"": 0, ""graveyard"": 0, ""hand"": 0, ""lose_condition"": 0, ""mana"": 0, ""opponent_action_lock"": 1, ""opponent_deck_pressure"": 0, ""replacement_destroy"": 0, ""replacement_shield"": 0, ""resource_loop"": 0, ""shield"": 0, ""summon_permission"": 0, ""tempo"": 0, ""trigger_window"": 0, ""turn_count"": 0, ""win_progress"": 0, ""zone_change_permission"": 0}",2026-07-09T11:03:22,2026-07-09T11:03:22
1000,ソーラー・レイ,シールドトリガー,defensive_reactive,,,opponent;creature,needs_shield,low_cost,,,single_use_or_static,deterministic_or_text_unknown,,,anti_aggro,2,"{""action_window"": 0, ""alternate_win_progress"": 0, ""attack_permission"": 0, ""board"": 0, ""board_persistence"": 0, ""cast_permission"": 0, ""damage_pressure"": 0, ""deck_out_prevention"": 0, ""defense"": 0, ""disruption"": 0, ""effect_permission"": 0, ""graveyard"": 0, ""hand"": 0, ""lose_condition"": 0, ""mana"": 0, ""opponent_action_lock"": 0, ""opponent_deck_pressure"": 0, ""replacement_destroy"": 0, ""replacement_shield"": 0, ""resource_loop"": 0, ""shield"": 0, ""summon_permission"": 0, ""tempo"": 0, ""trigger_window"": 0, ""turn_count"": 0, ""win_progress"": 0, ""zone_change_permission"": 0}",2026-07-09T11:03:22,2026-07-09T11:03:22
10000,予言者ベクス,常在,early,shield,,self,needs_shield,low_cost,,,single_use_or_static,deterministic_or_text_unknown,,,anti_aggro,3,"{""action_window"": 0, ""alternate_win_progress"": 0, ""attack_permission"": 0, ""board"": 0, ""board_persistence"": 0, ""cast_permission"": 0, ""damage_pressure"": 0, ""deck_out_prevention"": 0, ""defense"": 0, ""disruption"": 0, ""effect_permission"": 0, ""graveyard"": 0, ""hand"": 0, ""lose_condition"": 0, ""mana"": 0, ""opponent_action_lock"": 0, ""opponent_deck_pressure"": 0, ""replacement_destroy"": 0, ""replacement_shield"": 0, ""resource_loop"": 0, ""shield"": 0, ""summon_permission"": 0, ""tempo"": 0, ""trigger_window"": 0, ""turn_count"": 0, ""win_progress"": 0, ""zone_change_permission"": 0}",2026-07-09T11:03:22,2026-07-09T11:03:22
100000,連珠の精霊アガピトス,出た時,mid,deck;battle_zone,battle_zone,self;opponent;creature;cost_limited;power_limited;random,needs_board,mid_cost,board_plus;cost_bypass;search;creature_deploy,cost_bypass,repeatable_candidate,random,creature_removal,,anti_aggro,3,"{""action_window"": 1, ""alternate_win_progress"": 0, ""attack_permission"": 0, ""board"": 1, ""board_persistence"": 0, ""cast_permission"": 0, ""damage_pressure"": 1, ""deck_out_prevention"": 0, ""defense"": 0, ""disruption"": 0, ""effect_permission"": 0, ""graveyard"": 0, ""hand"": 0, ""lose_condition"": 0, ""mana"": 0, ""opponent_action_lock"": 0, ""opponent_deck_pressure"": 0, ""replacement_destroy"": 0, ""replacement_shield"": 0, ""resource_loop"": 0, ""shield"": 0, ""stability"": 1, ""summon_permission"": 1, ""tempo"": 2, ""trigger_window"": 0, ""turn_count"": 0, ""win_progress"": 0, ""zone_change_permission"": 0}",2026-07-09T11:03:22,2026-07-09T11:03:22
1000060,ミラクル・ミラダンテ,出た時,attack_phase,deck;hand;battle_zone;shield,battle_zone,self;opponent;creature;evolution,needs_mana;needs_hand;needs_board;needs_shield;needs_evolution_base;needs_attack,high_cost,graveyard_plus;board_plus;creature_deploy,,on_attack,topdeck_dependent,hand_disruption;creature_removal,payoff,anti_aggro,7,"{""action_window"": 0, ""alternate_win_progress"": 0, ""attack_permission"": -2, ""board"": 1, ""board_persistence"": 0, ""cast_permission"": 0, ""damage_pressure"": 1, ""deck_out_prevention"": 0, ""defense"": 1, ""disruption"": 0, ""effect_permission"": 0, ""graveyard"": 1, ""hand"": 0, ""lose_condition"": 0, ""mana"": 0, ""opponent_action_lock"": 1, ""opponent_deck_pressure"": 0, ""replacement_destroy"": 0, ""replacement_shield"": 0, ""resource_loop"": 0, ""shield"": 0, ""summon_permission"": 0, ""tempo"": 0, ""trigger_window"": 0, ""turn_count"": 0, ""win_progress"": 0, ""zone_change_permission"": 0}",2026-07-09T11:03:22,2026-07-09T11:03:22
100100,龍聖霊ウルフェウス,出た時,defensive_reactive,hand;graveyard;battle_zone,battle_zone,self;spell;cost_limited,needs_mana;needs_hand;needs_graveyard;needs_board;needs_shield;needs_spell_cast;needs_payoff,high_cost;cost_bypass,board_plus;cost_bypass;spell_cast,cost_bypass,repeatable_candidate,deterministic_or_text_unknown,graveyard_or_stack_hate;spell_lock;hand_disruption;creature_removal,payoff,anti_aggro;graveyard_plan,3,"{""action_window"": 1, ""alternate_win_progress"": 0, ""attack_permission"": 0, ""board"": 1, ""board_persistence"": 0, ""cast_permission"": 0, ""damage_pressure"": 1, ""deck_out_prevention"": 0, ""defense"": 0, ""disruption"": 0, ""effect_permission"": 0, ""graveyard"": 0, ""hand"": 0, ""lose_condition"": 0, ""mana"": 0, ""opponent_action_lock"": 0, ""opponent_deck_pressure"": 0, ""replacement_destroy"": 0, ""replacement_shield"": 0, ""resource_loop"": 0, ""shield"": 0, ""summon_permission"": 1, ""tempo"": 2, ""trigger_window"": 0, ""turn_count"": 0, ""win_progress"": 0, ""zone_change_permission"": 0}",2026-07-09T11:03:22,2026-07-09T11:03:22
1001000,静謐の啓き 真悠,出た時,early,deck;hand;battle_zone;shield,battle_zone,self;opponent;creature;cost_limited,needs_mana_zone;needs_board;needs_shield;needs_evolution_stack,low_cost,board_plus;evolution_stack_manipulation;creature_deploy,,repeatable_candidate,opponent_dependent,graveyard_or_stack_hate;creature_removal,,anti_control,2,"{""action_window"": 0, ""alternate_win_progress"": 0, ""attack_permission"": 0, ""board"": 1, ""board_persistence"": 0, ""cast_permission"": 0, ""damage_pressure"": 1, ""deck_out_prevention"": 0, ""defense"": 0, ""disruption"": 0, ""effect_permission"": 0, ""graveyard"": 0, ""hand"": 0, ""lose_condition"": 0, ""mana"": 0, ""opponent_action_lock"": 0, ""opponent_deck_pressure"": 1, ""replacement_destroy"": 0, ""replacement_shield"": 0, ""resource_loop"": 1, ""shield"": 0, ""summon_permission"": 0, ""tempo"": 0, ""trigger_window"": 0, ""turn_count"": 0, ""win_progress"": 0, ""zone_change_permission"": 0}",2026-07-09T11:03:22,2026-07-09T11:03:22
1001120,静謐の啓き 真悠,出た時,early,deck;hand;battle_zone;shield,battle_zone,self;opponent;creature;cost_limited,needs_mana_zone;needs_board;needs_shield;needs_evolution_stack,low_cost,board_plus;evolution_stack_manipulation;creature_deploy,,repeatable_candidate,opponent_dependent,graveyard_or_stack_hate;creature_removal,,anti_control,2,"{""action_window"": 0, ""alternate_win_progress"": 0, ""attack_permission"": 0, ""board"": 1, ""board_persistence"": 0, ""cast_permission"": 0, ""damage_pressure"": 1, ""deck_out_prevention"": 0, ""defense"": 0, ""disruption"": 0, ""effect_permission"": 0, ""graveyard"": 0, ""hand"": 0, ""lose_condition"": 0, ""mana"": 0, ""opponent_action_lock"": 0, ""opponent_deck_pressure"": 1, ""replacement_destroy"": 0, ""replacement_shield"": 0, ""resource_loop"": 1, ""shield"": 0, ""summon_permission"": 0, ""tempo"": 0, ""trigger_window"": 0, ""turn_count"": 0, ""win_progress"": 0, ""zone_change_permission"": 0}",2026-07-09T11:03:22,2026-07-09T11:03:22
100300,聖霊提督セフィア・パルテノン,出た時,late,deck;hand;battle_zone,hand;battle_zone,self;opponent;all;random,needs_mana;needs_hand;needs_board;needs_evolution_stack,high_cost,graveyard_plus;board_plus;cost_bypass;evolution_stack_manipulation;creature_deploy,cost_bypass;replacement_or_immunity,single_use_or_static,topdeck_dependent;random,graveyard_or_stack_hate;hand_disruption;creature_removal;has_resilience,payoff,anti_aggro;anti_control,3,"{""action_window"": 1, ""alternate_win_progress"": 0, ""attack_permission"": 0, ""board"": 1, ""board_persistence"": 2, ""cast_permission"": 0, ""damage_pressure"": 1, ""deck_out_prevention"": 0, ""defense"": 0, ""disruption"": 0, ""effect_permission"": 0, ""graveyard"": 1, ""hand"": 0, ""lose_condition"": 0, ""mana"": 0, ""opponent_action_lock"": 0, ""opponent_deck_pressure"": 0, ""replacement_destroy"": 1, ""replacement_shield"": 0, ""resource_loop"": 1, ""shield"": 0, ""summon_permission"": 1, ""tempo"": 2, ""trigger_window"": 0, ""turn_count"": 0, ""win_progress"": 0, ""zone_change_permission"": 0}",2026-07-09T11:03:22,2026-07-09T11:03:22
1003000,煌メク聖壁 灰瞳,出た時,defensive_reactive,deck;hand;battle_zone;shield,hand;battle_zone,self;all,needs_mana;needs_board;needs_shield,high_cost,hand_plus;graveyard_plus;board_plus;shield_plus,,single_use_or_static,topdeck_dependent,creature_removal,reset_or_sweep;payoff,anti_aggro;anti_combo;anti_control,8,"{""action_window"": 0, ""alternate_win_progress"": 0, ""attack_permission"": 0, ""board"": 1, ""board_persistence"": 0, ""cast_permission"": 0, ""damage_pressure"": 1, ""deck_out_prevention"": 0, ""defense"": 2, ""disruption"": 3, ""effect_permission"": 0, ""graveyard"": 1, ""hand"": 1, ""lose_condition"": 0, ""mana"": 0, ""opponent_action_lock"": 0, ""opponent_deck_pressure"": 0, ""replacement_destroy"": 0, ""replacement_shield"": 0, ""resource_loop"": 0, ""shield"": 1, ""stability"": 1, ""summon_permission"": 0, ""tempo"": 0, ""trigger_window"": 0, ""turn_count"": 0, ""win_progress"": 0, ""zone_change_permission"": 1}",2026-07-09T11:03:22,2026-07-09T11:03:22
