character,priority,prompt,negative_prompt,notes
タクミ,A,"vertical 9:16, 2D anime illustration, cel-shaded, visual novel character art, not photorealistic, young Japanese male convenience store night-shift worker around 20 years old, about 172cm, slim, slightly stooped, narrow shoulders, short slightly messy black hair with natural bedhead, round large dark eyes, soft round youthful face, always a slightly troubled look, very expressive (surprise/confusion/tsukkomi), store uniform: dark navy base with dark green front panel, white horizontal chest line, green collar, small name tag 'タクミ' on left chest, dark trousers, plain sneakers, late-night convenience store, cool LED light, high detail, no text","photorealistic, 3d render, photo, chibi, cartoonish, feminine face, idol pose, cool protagonist face, handsome lead, muscular, long hair, dyed hair, glasses, hat, text, subtitles, speech bubbles, logo, watermark, bad hands, distorted face","新人夜勤バイト。表情豊か・困り顔多め。制服配色固定。docs/characters/takumi"
ミナ,A,"vertical 9:16, 2D anime illustration, cel-shaded, visual novel character art, not photorealistic, calm Japanese woman in her early 20s (22-24), senior convenience store night-shift worker, about 163cm, slim, very straight posture, black hair in a low single ponytail with a simple black hair tie, natural fringe, slightly almond eyes, small nose and mouth, thin natural eyebrows, mostly expressionless gentle slightly sleepy face, same store uniform: dark navy base, dark green front panel, white chest line, green collar, name tag 'ミナ' on left chest, dark trousers, late-night convenience store, cool LED light, high detail, no text","photorealistic, 3d render, photo, chibi, cartoonish, glamorous beauty, idol face, big smile, crying, bob cut, short cut, twin tails, high ponytail, dyed hair, skirt, accessories, glasses, text, subtitles, speech bubbles, logo, watermark, bad hands, distorted face","先輩夜勤。淡々・無表情、タクミとの対比。低い一つ結び固定。docs/characters/mina"
汗田竜司,A,"vertical 9:16, 2D anime illustration, cel-shaded, visual novel character art, not photorealistic, Japanese man age 54, advanced automotive engineer, longish black hair swept back with a thick beard, purple sports sunglasses, calm intelligent slightly tired look, somewhat burly build, riding jacket and boots, standing next to a CB200X-style adventure touring motorcycle with a purple full-face helmet, the navigation unit mounted at the handlebar center facing the rider, late-night roadside, high detail, no text","photorealistic, 3d render, photo, young face, baby face, muscular, sci-fi armor, cyberpunk, neon bike, changed motorcycle model, different helmet color, glasses-only, text, subtitles, logo, watermark, bad hands, distorted face","54歳開発者。CB200X風+紫ヘルメット+ライダー向きナビ固定。docs/characters/aseda_ryuji"
未来の会社員,A,"vertical 9:16, 2D anime illustration, cel-shaded, visual novel character art, not photorealistic, tired Japanese male office worker (actually 27 but looks near 40 from overwork), about 175cm, slim, slightly stooped and forward-leaning, gentle ordinary face with faint dark circles under the eyes, short messy black hair, light stubble, worn dark NAVY suit, white shirt, slightly loosened tie, black leather shoes, a transparent memory-return tag at the neck with a silver circuit inside that glows only when the 13th register activates, late-night convenience store entrance with automatic glass door, cool LED light, high detail, no text","photorealistic, 3d render, photo, sci-fi armor, future soldier, cyborg, robot, sunglasses, glasses, beard, flashy future decoration, handsome lead, villain face, baby face, chibi, text, subtitles, logo, watermark, bad hands, distorted face","長谷山隆之。2074年食品流通管理課。濃紺スーツ+記憶返品タグ。docs/characters/future_employee"
座木山辰哉,B,"vertical 9:16, 2D anime illustration, cel-shaded, visual novel character art, not photorealistic, easygoing Japanese man age 55, neighborhood regular customer, about 170cm, lean, sun-tanned skin, slightly stooped, a dark hoodie under a khaki fishing vest, olive cargo pants, black rubber boots, short messy black hair, light stubble and a slight moustache, lower lip slightly pushed forward covering the upper lip, sleepy slightly-open eyes, no hat no glasses, using a convenience store copy machine at night, quiet strange atmosphere, high detail, no text","photorealistic, 3d render, photo, suit, flashy clothes, young face, handsome, glasses, hat, check shirt, cardigan, outdoor shoes, buzz cut, resembling Asada or the future employee, flashy accessories, wizard, fantasy outfit, villain, chibi, text, subtitles, logo, watermark, bad hands, distorted face","55歳常連。フーディー＋カーキ釣りベスト＋黒長靴・短く乱れた黒髪。コピー機の人。docs/characters/zakiyama"
唐沢栄治,B,"vertical 9:16, 2D anime illustration, cel-shaded, visual novel character art, not photorealistic, serious Japanese man age 53, convenience-store headquarters supervisor and operations-improvement staff, about 173cm, normal build, good posture, salesman-like air, long face, calm sharp eyes, thin silver-rimmed glasses, no beard, short neat black hair with some grey, plain navy or grey business jacket, white shirt, thin tie, black leather shoes, HQ ID card, holding a tablet or clipboard, inside a late-night convenience store, high detail, no text","photorealistic, 3d render, photo, villain, shouting, flashy suit, young face, sunglasses, sci-fi gear, chibi, cartoonish, text, subtitles, logo, watermark, bad hands, distorted face","53歳本部SV。数字重視・現実側。細い銀縁メガネ＋タブレット。docs/characters/karasawa"
トラック運転手,B,"vertical 9:16, 2D anime illustration, cel-shaded, visual novel character art, not photorealistic, Japanese long-haul truck driver in his late 50s, large sturdy heavyset build, short greying crew cut (close-cropped), sun-tanned ruddy round face, thick eyebrows, sleepy but good-natured gentle expression, no moustache and only light chin stubble, dark navy to grey work coveralls (jumpsuit), a towel around the neck, no hat, an EP04 one-time customer buying a fried chicken stick at the late-night convenience store, holding a truck key or work gloves or a thermos / canned coffee, high detail, no text","photorealistic, 3d render, photo, resembling Zakiyama, thin build, messy black hair, moustache, jutting lower lip, fishing vest, fishing gear, hat, delivery uniform, suit, store uniform, sci-fi gear, young face, handsome, chibi, text, subtitles, logo, watermark, bad hands, distorted face","50代後半・第4話一見客。濃紺〜グレー作業つなぎ+首タオル+帽子なし+角刈り。座木山に似せない。docs/characters/truck_driver"
ナビ,A,"vertical 9:16, 2D anime illustration, cel-shaded, product-accurate device art, not photorealistic, a motorcycle navigation unit: horizontal rectangle about 5 inch 16:9 screen, rounded corners, thick black bezel, matte black rugged plastic industrial body (Honda-style practical), four buttons in a single vertical column on the right side, mounted on the handlebar center via a RAM-style ball-joint mount with the screen facing the rider, normal map UI (blue route on white) or future-connection UI (black background with cyan green white text), late-night, high detail, no text on body","photorealistic, 3d render, photo, round device, vertical layout, tablet, hologram, translucent, floating, face, eyes, mouth, changed button layout, flashy sci-fi gadget, neon, text, subtitles, logo, watermark","未来食品流通対応ナビ。常にライダー向き・回転禁止。docs/characters/navi"
第十三レジ,A,"vertical 9:16, 2D anime illustration, cel-shaded, visual novel character art, not photorealistic, the 13th register: a tabletop-sized modern POS register about 35x45x55cm (NOT a large machine), matte black and dark charcoal body with a thin pale-blue LED line, blending into the convenience store, sitting on the counter to the right of register number 12 on a faint grey square tile marker, a small front display showing a minimal glowing cyan face of two short horizontal cyan eyes and one small horizontal mouth (expressionless, sleepy, mechanical but with intent), barcode reader and small display and receipt printer, barely glowing normally, a pale-blue line flowing quietly only while processing, late-night convenience store counter, high detail, no text","photorealistic, 3d render, photo, huge machine, wall of machines, device growing from floor, sci-fi control console, hologram, neon, robot arm, cute mascot face, big cartoon face, silver old register, humanoid robot, rectangular frame around register, text, subtitles, logo, watermark, low quality","卓上POS+顔(目二本+口)必須+カウンター上のグレータイル。docs/characters/register13"
コンビニ内装,A,"vertical 9:16, 2D anime illustration, cel-shaded, background art, not photorealistic, interior of a roadside 24-hour Japanese convenience store about 15-20 years old, slightly spacious provincial layout, white ceiling, cold LED lighting with a late-night feel, light grey floor, wide aisles, clean and tidy, counter at the back right (white and grey, L-shaped), register number 12 (black modern POS) with a faint grey square tile marker to its right for the 13th register, copy machine at the back left next to a magazine shelf, rice-ball (onigiri) case near the entrance, drink fridge with pale-blue light, hot-snack case and a self-serve coffee machine beside the register, backroom with a large white commercial freezer, full glass front with strong night reflections, road and street lights outside, palette of blue grey white black with a touch of purple, few warm tones, high detail, no text","photorealistic, 3d render, photo, different store chain, changed layout, wooden cafe style, flashy future store, neon decoration, sci-fi lab interior, text, subtitles, logo, watermark, low quality","全12話同一店舗の固定レイアウト。docs/settings/store_interior"
