character,speaker_name,style_name,style_id,speedScale,intonationScale,tempoDynamicsScale,pitchScale,volumeScale,prePhonemeLength,postPhonemeLength,selection_note
ナレーション,澤原 玄二郎,ノーマル,2029042368,0.92,0.85,0.82,-0.02,1.0,0.12,0.25,統一:ナレーションを澤原 玄二郎に固定。
タクミ,にせ,ノーマル,1937616896,1.1,1.05,1.12,0.015,1.0,0.06,0.18,統一:タクミをにせに固定。
ミナ,中2,ノーマル,604166016,0.96,0.75,0.8,-0.02,1.0,0.08,0.2,統一:ミナを中2に固定。
第十三レジ,ろてじん（匿名インタビュー風）,ノーマル,1805828384,0.88,0.45,0.5,-0.04,1.0,0.08,0.25,統一:第十三レジをろてじんに固定。
未来の会社員,fumifumi,ノーマル,606865152,0.95,0.78,0.8,-0.03,1.0,0.08,0.22,変更:未来の会社員をfumifumiに変更。
座木山辰哉,TANAKA,ノーマル,1628969216,0.9,0.65,0.68,-0.04,1.0,0.1,0.25,変更:座木山をTANAKAに変更。
汗田竜司,阿井田 茂,ノーマル,1310138976,0.93,0.8,0.8,-0.03,1.0,0.1,0.25,統一:汗田竜司を阿井田 茂に固定。
ナビ,コハク,ノーマル,1878365376,0.9,0.45,0.5,-0.04,1.0,0.08,0.25,統一:ナビをコハクに固定。
トラック運転手,M2,ノーマル,1368642336,0.9,0.62,0.65,-0.05,1.0,0.1,0.26,新規:第4話トラック運転手にM2を仮割当（要試聴）。
唐沢栄治,M1,ノーマル,2051283136,0.92,0.68,0.7,-0.03,1.0,0.1,0.26,新規:第6話本部SV唐沢栄治にM1を割当（要試聴）。
月面店システム,桜音,ノーマル,376644064,0.95,0.6,0.62,0.0,1.0,0.08,0.24,新規:第8話月面店システムに桜音を割当（要試聴）。
第十二レジ,Lux,ノーマル,2031733024,0.86,0.5,0.55,-0.05,1.0,0.1,0.26,新規:第11話第十二レジ（過去/古いレジ）にLuxを割当（要試聴）。
第十四レジ,花音,ノーマル,1325133120,0.92,0.5,0.55,0.02,1.0,0.08,0.24,新規:第11話第十四レジ（未来/透明レジ）に花音を割当（要試聴）。
