card_id,name,civilization,cost,card_type,power,race,text,tags
DMPC-001,ボルシャック・ドラゴン,火,6,クリーチャー,6000,アーマード・ドラゴン,W・ブレイカー。攻撃中、このクリーチャーのパワーを墓地にある火のカード1枚につき+1000する。,ドラゴン;ビートダウン;W・ブレイカー;フィニッシャー
DMPC-002,アクア・サーファー,水,6,クリーチャー,2000,リキッド・ピープル,S・トリガー。バトルゾーンに出た時、相手のクリーチャー1体を手札に戻す。,S・トリガー;バウンス;防御;受け札
DMPC-003,青銅の鎧,自然,3,クリーチャー,1000,ビーストフォーク,バトルゾーンに出た時、自分の山札の上から1枚目をマナゾーンに置く。,マナ加速;初動;自然
DMPC-004,デーモン・ハンド,闇,6,呪文,,,"S・トリガー。相手のクリーチャー1体を破壊する。",S・トリガー;除去;闇;受け札
DMPC-005,ホーリー・スパーク,光,6,呪文,,,"S・トリガー。相手のクリーチャーをすべてタップする。",S・トリガー;タップ;防御;受け札
DMPC-006,フェアリー・ライフ,自然,2,呪文,,,"S・トリガー。自分の山札の上から1枚目をマナゾーンに置く。",S・トリガー;マナ加速;初動;受け札
DMPC-007,アクアン,水/闇,4,クリーチャー,2000,サイバーロード,バトルゾーンに出た時、山札の上から5枚を見る。その中から光または闇のカードを手札に加える。,ドロー;リソース;水;闇
DMPC-008,聖霊王アルカディアス,光,6,進化クリーチャー,12500,エンジェル・コマンド,進化。W・ブレイカー。相手は光以外の呪文を唱えられない。,進化;ロック;W・ブレイカー;フィニッシャー
DMPC-009,クリムゾン・ワイバーン,火,8,クリーチャー,3000,アーマード・ワイバーン,バトルゾーンに出た時、パワー3000以下のクリーチャーをすべて破壊する。,全体除去;火;コントロール
DMPC-010,ロスト・ソウル,闇,7,呪文,,,"相手は自身の手札をすべて捨てる。",ハンデス;コントロール;闇
