cut,section,duration_sec,shot_scale,pacing,visual,voice_focus,pacing_reason
ep01_001,深夜の通常業務,6.5,wide,slow,雨の国道沿いにある深夜コンビニ外観,ナレーション,入口なので空気を見せる
ep01_002,深夜の通常業務,5.5,wide,slow,誰もいない店内通路と冷蔵ケース,ナレーション,冷蔵ケース音を聞かせる
ep01_003,深夜の通常業務,3.5,insert,medium,午前2時3分を指す店内時計,ナレーション,時間提示だけなので短め
ep01_004,深夜の通常業務,5.0,medium,medium,おにぎり棚の前でシールを見るタクミ,ナレーション,主人公紹介
ep01_005,深夜の通常業務,3.2,medium,fast,タクミがおにぎりを見ながらミナに話す,タクミ,掛け合い開始
ep01_006,深夜の通常業務,2.4,close,fast,無表情のミナの横顔,ミナ,即答で切る
ep01_007,深夜の通常業務,2.4,close,fast,タクミの軽い反論,タクミ,軽い返し
ep01_008,深夜の通常業務,4.8,medium,medium,ミナが淡々と説明する,ミナ,店長という深い谷を聞かせる
ep01_009,深夜の通常業務,2.8,close,fast,タクミのツッコミ顔,タクミ,短いツッコミ
ep01_010,深夜の通常業務,4.2,insert,medium,ミナが腕時計を見る,ミナ,二時十七分への前振り
ep01_011,第十三レジ出現,2.8,close,fast,タクミが聞き返す,タクミ,違和感の入口
ep01_012,第十三レジ出現,3.0,insert,medium,店内の蛍光灯が一度だけ瞬く,SE,音と光の間
ep01_013,第十三レジ出現,5.5,wide,slow,雑誌棚とコピー機の間の暗がり,ナレーション,出現前の溜め
ep01_014,第十三レジ出現,8.0,event,slow,銀色の古いレジが現れる,ナレーション,初登場なので長く見せる
ep01_015,第十三レジ出現,5.0,insert,medium,第十三レジの液晶が赤く光る,第十三レジ,営業開始の印象
ep01_016,第十三レジ出現,2.8,close,fast,タクミが固まる,タクミ,反応は短く
ep01_017,第十三レジ出現,2.4,close,fast,ミナが当然のように返す,ミナ,温度差
ep01_018,第十三レジ出現,3.4,two-shot,fast,タクミがレジとミナを見比べる,タクミ,質問のテンポ
ep01_019,第十三レジ出現,3.2,medium,fast,ミナがレジ横に立つ,ミナ,落ち着いた返し
ep01_020,未来の返品客,4.2,wide,medium,自動ドアの外に雨で濡れた人影,SE,新しい客の前振り
ep01_021,未来の返品客,6.5,medium,slow,くたびれたスーツ姿の未来の会社員が入店,ナレーション,情報量が多い登場
ep01_022,未来の返品客,3.0,medium,fast,会社員が頭を下げる,未来の会社員,依頼は短く
ep01_023,未来の返品客,2.8,close,fast,ミナの通常接客,ミナ,通常業務感
ep01_024,未来の返品客,4.0,close,medium,会社員の疲れた顔,未来の会社員,五十年後の異常を置く
ep01_025,未来の返品客,2.8,two-shot,fast,タクミがミナに小声で聞く,タクミ,小声の間
ep01_026,未来の返品客,2.8,close,fast,ミナが教育係として返す,ミナ,テンポよく
ep01_027,未来の返品客,4.0,insert,medium,会社員が袋からおにぎりを出す,ナレーション,商品への導入
ep01_028,未来の返品客,6.5,insert,slow,完全栄養おにぎり・思い出の鮭のアップ,ナレーション,重要アイテムなので長め
ep01_029,人類生存率と始末書,5.0,insert,medium,第十三レジの警告表示,第十三レジ,警告を聞かせる
ep01_030,人類生存率と始末書,5.0,close,medium,青白い光を浴びるタクミ,第十三レジ,数字の重さ
ep01_031,人類生存率と始末書,3.3,close,fast,タクミの困惑アップ,タクミ,時給ツッコミ
ep01_032,人類生存率と始末書,4.8,medium,medium,未来の会社員が深く頭を下げる,未来の会社員,説明開始
ep01_033,人類生存率と始末書,3.8,insert,medium,会社員の疲れた手元,未来の会社員,始末書の切実さ
ep01_034,人類生存率と始末書,2.8,close,fast,タクミの呆れ顔,タクミ,短い落差
ep01_035,人類生存率と始末書,2.6,close,fast,会社員の真顔,未来の会社員,会社員なので
ep01_036,人類生存率と始末書,5.2,insert,medium,第十三レジの返品メニュー,ナレーション,メニュー情報
ep01_037,人類生存率と始末書,2.6,close,fast,タクミが店長呼出を見つける,タクミ,テンポ重視
ep01_038,人類生存率と始末書,2.2,close,fast,ミナが即答する,ミナ,即切り
ep01_039,人類生存率と始末書,3.6,insert,medium,第十三レジの残り時間表示,第十三レジ,カウント感
ep01_040,人類生存率と始末書,4.8,event,medium,商品が現代店舗に定着するイメージ,第十三レジ,危機説明
ep01_041,温めますか,2.8,two-shot,fast,タクミとミナが即座に返品を決める,タクミ,金額で即決
ep01_042,温めますか,4.0,medium,medium,ミナがおにぎりを手に取る,ミナ,決め台詞
ep01_043,温めますか,2.4,close,fast,タクミが反射的に叫ぶ,タクミ,短く強い反応
ep01_044,温めますか,2.8,close,fast,会社員が切実に頼む,未来の会社員,切実だが短い
ep01_045,温めますか,4.0,insert,medium,電子レンジに入れられる未来おにぎり,タクミ,世界の分岐ツッコミ
ep01_046,温めますか,5.8,insert,slow,電子レンジが青白く唸る,SE,山場前の溜め
ep01_047,温めますか,9.0,event,slow,電子レンジ内に未来の食堂が映る,ナレーション,感情の山場
ep01_048,温めますか,7.5,event,slow,空っぽの棚と長い列の未来食堂,ナレーション,食糧危機を見せる
ep01_049,温めますか,8.5,event,slow,子どもがおにぎりを持って笑う,ナレーション,第1話の感情的中心
ep01_050,温めますか,4.8,close,medium,会社員が息を呑む,未来の会社員,感情を出す
ep01_051,温めますか,4.0,insert,medium,第十三レジが処理完了を告げる,第十三レジ,処理完了
ep01_052,温めますか,4.0,insert,medium,ミナが履歴メモを入力する,第十三レジ,業務へ戻る
ep01_053,温めますか,5.0,close,slow,ミナの静かな横顔,ミナ,少しだけ芯を見せる
ep01_054,温めますか,2.2,close,fast,タクミのツッコミ,タクミ,短く切る
ep01_055,温めますか,2.6,insert,fast,第十三レジが記録完了,第十三レジ,事務処理
ep01_056,温めますか,2.6,close,fast,タクミがレジを見る,タクミ,反応
ep01_057,温めますか,5.2,insert,medium,第十三レジの無機質な表示,第十三レジ,無機質なボケ
ep01_058,レシートオチ,4.8,insert,medium,時空返品完了のレジ画面,ナレーション,会計へ戻す
ep01_059,レシートオチ,4.0,medium,medium,会社員が現金を受け取る,ナレーション,現実感
ep01_060,レシートオチ,3.6,medium,medium,会社員がホットコーヒーを買う,未来の会社員,気が抜ける
ep01_061,レシートオチ,3.0,close,fast,タクミの脱力顔,タクミ,短い脱力
ep01_062,レシートオチ,4.5,insert,medium,午前2時20分の時計,ナレーション,区切り
ep01_063,レシートオチ,6.5,event,slow,第十三レジが青白い光とともに消える,SE,消失は見せる
ep01_064,レシートオチ,7.0,insert,slow,残ったレシートのアップ,ナレーション,オチを読む
ep01_065,レシートオチ,3.2,close,fast,スタッフ割引対象外の印字とタクミ,タクミ,最後だけ短く落とす
ep01_066,夜勤は終わらない,3.8,wide,medium,自動ドアがまた開く,SE,日常への切り返し
ep01_067,夜勤は終わらない,5.8,medium,medium,座木山辰哉が古いツーリング地図を抱えて入る,ナレーション,次話への導入
ep01_068,夜勤は終わらない,4.0,medium,medium,座木山がコピー機へ向かう,座木山辰哉,奇妙な常連
ep01_069,夜勤は終わらない,3.0,close,fast,タクミが固まる,タクミ,反応は短く
ep01_070,夜勤は終わらない,3.2,medium,fast,ミナがおにぎり棚を見ながら返す,ミナ,締めの一言
ep01_071,夜勤は終わらない,7.0,insert,slow,床清掃用具、雑誌返品、廃棄登録の静物,ナレーション,夜勤の現実を戻す
ep01_072,夜勤は終わらない,7.5,wide,slow,雨のコンビニ外観に戻る,環境音,エンド余韻
