id,cut,role,character,text,reading_hiragana,original_direction,emotion,delivery_translation,speaker_name,style_name,style_id,speedScale,intonationScale,tempoDynamicsScale,pitchScale,volumeScale,prePhonemeLength,postPhonemeLength,pause_after_ms,synthesize
ep01_v001,ep01_001,narration,ナレーション,午前二時三分。,ごぜんにじさんぷん。,深夜の静けさ。短く置く,静かな叙述,深夜の空気を前に出し、感情は薄く、語尾に余韻を残す。,澤原 玄二郎,ノーマル,2029042368,0.92,0.85,0.82,-0.02,1.0,0.12,0.25,500,yes
ep01_v002,ep01_002,narration,ナレーション,国道沿いのコンビニは、冷蔵ケースの低い音だけでできているみたいに静かだった。,こくどうぞいのこんびには、れいぞうけーすのひくいおとだけでできているみたいにしずかだった。,落ち着いた低めの声。少し文学的に,静かな叙述,深夜の空気を前に出し、感情は薄く、語尾に余韻を残す。,澤原 玄二郎,ノーマル,2029042368,0.92,0.85,0.82,-0.02,1.0,0.12,0.25,800,yes
ep01_v003,ep01_004,narration,ナレーション,新人夜勤バイトのタクミは、おにぎり棚の前で廃棄時間のシールを見比べていた。,しんじんやきんばいとのたくみは、おにぎりだなのまえではいきじかんのしーるをみくらべていた。,説明は軽く。映像を邪魔しない,状況説明,映像の補助に徹し、明瞭だが前に出すぎない。,澤原 玄二郎,ノーマル,2029042368,0.92,0.85,0.82,-0.02,1.0,0.12,0.25,500,yes
ep01_v004,ep01_005,dialogue,タクミ,ミナさん。廃棄のおにぎりって、何分前から食べていいんですか。,みなさん。はいきのおにぎりって、なんぷんまえからたべていいんですか。,軽い雑談。悪気はない,軽い雑談,新人らしく軽く話す。まだ異常は起きていない。,にせ,ノーマル,1937616896,1.1,1.08,1.14,0.017,1,0.06,0.18,300,yes
ep01_v005,ep01_006,dialogue,ミナ,食べていいとは言ってない。,たべていいとはいってない。,淡々と即答,即答,短く切る。声は荒げない。,ほのか(~現実20代女子AIボイチェン~リアボVC公式モデル),ノーマル,808373280,0.99,0.67,0.75,-0.02,1,0.08,0.17,350,yes
ep01_v006,ep01_007,dialogue,タクミ,でも捨てるんですよね。,でもすてるんですよね。,素朴な反論,軽い雑談,新人らしく軽く話す。まだ異常は起きていない。,にせ,ノーマル,1937616896,1.1,1.08,1.14,0.017,1,0.06,0.18,250,yes
ep01_v007,ep01_008,dialogue,ミナ,捨てるものと食べていいものの間には、店長という深い谷がある。,すてるものとたべていいもののあいだには、てんちょうというふかいたにがある。,真顔で業務ルールのように,業務ルール説明,変なことを言っている自覚なし。社内ルールの説明の温度。,ほのか(~現実20代女子AIボイチェン~リアボVC公式モデル),ノーマル,808373280,0.93,0.67,0.74,-0.022,1,0.08,0.24,300,yes
ep01_v008,ep01_009,dialogue,タクミ,現実的に深いですね。,げんじつてきにふかいですね。,短くツッコむ,短いツッコミ,テンポよく短く返す。叫びにはしない。,にせ,ノーマル,1937616896,1.15,1.15,1.2,0.015,1.04,0.06,0.16,250,yes
ep01_v009,ep01_008,dialogue,ミナ,落ちるとシフトが減る。,おちるとしふとがへる。,淡々。怖い現実を普通に言う,業務ルール説明,変なことを言っている自覚なし。社内ルールの説明の温度。,ほのか(~現実20代女子AIボイチェン~リアボVC公式モデル),ノーマル,808373280,0.93,0.67,0.74,-0.022,1,0.08,0.24,300,yes
ep01_v010,ep01_009,dialogue,タクミ,シフト減るのが一番効くやつだ。,しふとへるのがいちばんきくやつだ。,少し呆れて小さく,小声の受け,大きく突っ込まず、ぼそっと漏らす。,にせ,ノーマル,1937616896,1.06,0.99,1.08,0.011,0.88,0.06,0.22,600,yes
ep01_v011,ep01_010,dialogue,ミナ,二時十五分、雑誌返品。二時十七分、第十三レジ。,にじじゅうごふん、ざっしへんぴん。にじじゅうななふん、だいじゅうさんれじ。,予定確認の口調。異常扱いしない,低温・淡々,感情を盛らず、通常業務として読む。,ほのか(~現実20代女子AIボイチェン~リアボVC公式モデル),ノーマル,808373280,0.94,0.7,0.76,-0.02,0.98,0.08,0.23,350,yes
ep01_v012,ep01_011,dialogue,タクミ,はい。……はい？,はい。はい？,聞き流しかけて引っかかる,困惑,理解が追いつかず、少しだけ語尾を浮かせる。,にせ,ノーマル,1937616896,1.08,1.13,1.16,0.021,1,0.06,0.23,400,yes
ep01_v013,ep01_012,sfx,SE,蛍光灯が一度だけ、ぱちんと瞬く。,,音響メモ。短い電気音,効果音メモ,音声合成しない。SE設計用のマーカーとして扱う。,,,,,,,,,,,500,no
ep01_v014,ep01_014,narration,ナレーション,タクミが聞き返した瞬間、雑誌棚とコピー機の間に、銀色の古いレジが現れた。,たくみがききかえしたしゅんかん、ざっしだなとこぴーきのあいだに、ぎんいろのふるいれじがあらわれた。,静かに不穏。煽りすぎない,静かな不穏,声を少し落として、奇妙さだけを置く。煽らない。,澤原 玄二郎,ノーマル,2029042368,0.92,0.85,0.82,-0.02,1.0,0.12,0.25,500,yes
ep01_v015,ep01_015,dialogue,第十三レジ,第十三レジ。ただいま営業中。,だいじゅうさんれじ。ただいまえいぎょうちゅう。,無機質な店内端末音声,端末通知,店内端末の案内。感情を消し、一定の速度で読む。,ろてじん（匿名インタビュー風）,ノーマル,1805828384,0.88,0.37,0.42,-0.04,1.02,0.08,0.25,500,yes
ep01_v016,ep01_016,dialogue,タクミ,増えた……。,ふえた。,呆然。小さく,困惑,理解が追いつかず、少しだけ語尾を浮かせる。,にせ,ノーマル,1937616896,1.08,1.13,1.16,0.021,1,0.06,0.23,350,yes
ep01_v017,ep01_017,dialogue,ミナ,増えるよ。,ふえるよ。,当然のように短く,即答,短く切る。声は荒げない。,ほのか(~現実20代女子AIボイチェン~リアボVC公式モデル),ノーマル,808373280,0.99,0.67,0.75,-0.02,1,0.08,0.17,300,yes
ep01_v018,ep01_018,dialogue,タクミ,コンビニって夜になるとレジが増えるんですか。,こんびにってよるになるとれじがふえるんですか。,常識で確認する困惑,困惑,理解が追いつかず、少しだけ語尾を浮かせる。,にせ,ノーマル,1937616896,1.08,1.13,1.16,0.021,1,0.06,0.23,250,yes
ep01_v019,ep01_019,dialogue,ミナ,夜勤はだいたいそう。,やきんはだいたいそう。,淡々。笑わせにいかない,業務ルール説明,変なことを言っている自覚なし。社内ルールの説明の温度。,ほのか(~現実20代女子AIボイチェン~リアボVC公式モデル),ノーマル,808373280,0.93,0.67,0.74,-0.022,1,0.08,0.24,250,yes
ep01_v020,ep01_018,dialogue,タクミ,絶対違う。,ぜったいちがう。,即ツッコミ,短いツッコミ,テンポよく短く返す。叫びにはしない。,にせ,ノーマル,1937616896,1.15,1.15,1.2,0.015,1.04,0.06,0.16,650,yes
ep01_v021,ep01_020,sfx,SE,自動ドアが開く。,,音響メモ。入店チャイムは控えめ,効果音メモ,音声合成しない。SE設計用のマーカーとして扱う。,,,,,,,,,,,300,no
ep01_v022,ep01_021,narration,ナレーション,入ってきたのは、くたびれたスーツ姿の男だった。,はいってきたのは、くたびれたすーつすがたのおとこだった。,淡々と紹介,状況説明,映像の補助に徹し、明瞭だが前に出すぎない。,澤原 玄二郎,ノーマル,2029042368,0.92,0.85,0.82,-0.02,1.0,0.12,0.25,250,yes
