id,cut,visualCutId,visualCutTitle,visualCutIndex,start,end,speaker,dialogue,reading,visualLabel,progressLabel,image,plannedImage,fallbackImage,imagePrompt,log
ep01_v001,ep01_001,vc01,深夜コンビニ外観,1,0.0,2.063,ナレーション,午前二時三分。,ごぜんにじさんぷん。,01/20　深夜コンビニ外観,01/82　ナレーション,assets/scenes/planned/ep01_vc01_store_exterior.jpg,assets/scenes/planned/ep01_vc01_store_exterior.jpg,assets/scenes/scene_01_opening.jpg,午前二時三分、国道沿いの日本のコンビニ外観。冷たい青い照明、誰もいない駐車場、静かなSFコメディの始まり。,発話ログ　01/82 / 担当　ナレーション / 深夜帯　進行中
ep01_v002,ep01_002,vc01,深夜コンビニ外観,1,2.563,8.388,ナレーション,国道沿いのコンビニは、冷蔵ケースの低い音だけでできているみたいに静かだった。,こくどうぞいのこんびにワ、れいぞうけーすのひくいおとだけでできているみたいにしずかだった。,01/20　深夜コンビニ外観,02/82　ナレーション,assets/scenes/planned/ep01_vc01_store_exterior.jpg,assets/scenes/planned/ep01_vc01_store_exterior.jpg,assets/scenes/scene_01_opening.jpg,午前二時三分、国道沿いの日本のコンビニ外観。冷たい青い照明、誰もいない駐車場、静かなSFコメディの始まり。,発話ログ　02/82 / 担当　ナレーション / 深夜帯　進行中
ep01_v003,ep01_004,vc02,おにぎり棚の前のタクミ,2,9.188,15.302,ナレーション,新人夜勤バイトのタクミは、おにぎり棚の前で廃棄時間のシールを見比べていた。,しんじんやきんばいとのたくみワ、おにぎりだなのまえで、はいきじかんのしーるをみくらべていた。,02/20　おにぎり棚の前のタクミ,03/82　ナレーション,assets/scenes/planned/ep01_vc02_takumi_onigiri_shelf.jpg,assets/scenes/planned/ep01_vc02_takumi_onigiri_shelf.jpg,assets/scenes/scene_02_onigiri_shelf.jpg,おにぎり棚の前で廃棄シールを見比べるタクミ。横に冷静なミナ。 タクミは全カットで同一人物として固定。キャラID: takumi。20歳前後の若い日本人男性、細身で少し猫背、短い黒髪で軽い寝癖、丸めの目、驚きや困惑が表情に出やすい普通の新人夜勤バイト。制服は全カットで同じ、濃紺ベースに深緑の前身頃、白い横ライン、緑の襟、左胸に名札「タクミ」。顔をクールな主人公顔にしない。髪型、顔立ち、制服配色、名札位置を変えない。ミナの制服と同じ店舗制服にするが、女性用に見せない。 ミナは全カットで同一人物として固定。キャラID: mina。20代前半の日本人女性、黒髪の低いひとつ結び、前髪は自然に下ろしすぎず整える、落ち着いた目、無表情に近い淡々とした顔、背筋がまっすぐ。制服はタクミと同じ店舗制服で、濃紺ベースに深緑の前身頃、白い横ライン、緑の襟、左胸に名札「ミナ」。華美にしない。髪型、顔立ち、制服配色、名札位置を変えない。ボブやロングヘアへ変更しない。 2Dアニメイラスト、ビジュアルノベル風、ゲーム立ち絵風、アニメ塗り、セルルック、線画がはっきりしたキャラクターデザイン、非写実的。人物をフォトリアルにしない。,発話ログ　03/82 / 担当　ナレーション / 深夜帯　進行中
ep01_v004,ep01_005,vc02,おにぎり棚の前のタクミ,2,15.802,20.412,タクミ,ミナさん。廃棄のおにぎりって、何分前から食べていいんですか。,みなさん。はいきのおにぎりって、なんぷんまえからたべていいんですか。,02/20　おにぎり棚の前のタクミ,04/82　タクミ,assets/scenes/planned/ep01_vc02_takumi_onigiri_shelf.jpg,assets/scenes/planned/ep01_vc02_takumi_onigiri_shelf.jpg,assets/scenes/scene_02_onigiri_shelf.jpg,おにぎり棚の前で廃棄シールを見比べるタクミ。横に冷静なミナ。 タクミは全カットで同一人物として固定。キャラID: takumi。20歳前後の若い日本人男性、細身で少し猫背、短い黒髪で軽い寝癖、丸めの目、驚きや困惑が表情に出やすい普通の新人夜勤バイト。制服は全カットで同じ、濃紺ベースに深緑の前身頃、白い横ライン、緑の襟、左胸に名札「タクミ」。顔をクールな主人公顔にしない。髪型、顔立ち、制服配色、名札位置を変えない。ミナの制服と同じ店舗制服にするが、女性用に見せない。 ミナは全カットで同一人物として固定。キャラID: mina。20代前半の日本人女性、黒髪の低いひとつ結び、前髪は自然に下ろしすぎず整える、落ち着いた目、無表情に近い淡々とした顔、背筋がまっすぐ。制服はタクミと同じ店舗制服で、濃紺ベースに深緑の前身頃、白い横ライン、緑の襟、左胸に名札「ミナ」。華美にしない。髪型、顔立ち、制服配色、名札位置を変えない。ボブやロングヘアへ変更しない。 2Dアニメイラスト、ビジュアルノベル風、ゲーム立ち絵風、アニメ塗り、セルルック、線画がはっきりしたキャラクターデザイン、非写実的。人物をフォトリアルにしない。,発話ログ　04/82 / 担当　タクミ / 本日の営業　継続中
ep01_v005,ep01_006,vc03,廃棄おにぎり問答,3,20.712,22.914,ミナ,食べていいとは言ってない。,たべていいとワいってない。,03/20　廃棄おにぎり問答,05/82　ミナ,assets/scenes/planned/ep01_vc03_onigiri_banter.jpg,assets/scenes/planned/ep01_vc03_onigiri_banter.jpg,assets/scenes/scene_02_onigiri_shelf.jpg,ミナが淡々と注意し、タクミがツッコむ。おにぎり棚、値札、廃棄時間シール。静かな会話コメディ。 タクミは全カットで同一人物として固定。キャラID: takumi。20歳前後の若い日本人男性、細身で少し猫背、短い黒髪で軽い寝癖、丸めの目、驚きや困惑が表情に出やすい普通の新人夜勤バイト。制服は全カットで同じ、濃紺ベースに深緑の前身頃、白い横ライン、緑の襟、左胸に名札「タクミ」。顔をクールな主人公顔にしない。髪型、顔立ち、制服配色、名札位置を変えない。ミナの制服と同じ店舗制服にするが、女性用に見せない。 ミナは全カットで同一人物として固定。キャラID: mina。20代前半の日本人女性、黒髪の低いひとつ結び、前髪は自然に下ろしすぎず整える、落ち着いた目、無表情に近い淡々とした顔、背筋がまっすぐ。制服はタクミと同じ店舗制服で、濃紺ベースに深緑の前身頃、白い横ライン、緑の襟、左胸に名札「ミナ」。華美にしない。髪型、顔立ち、制服配色、名札位置を変えない。ボブやロングヘアへ変更しない。 2Dアニメイラスト、ビジュアルノベル風、ゲーム立ち絵風、アニメ塗り、セルルック、線画がはっきりしたキャラクターデザイン、非写実的。人物をフォトリアルにしない。,発話ログ　05/82 / 担当　ミナ / 声　中2 / ノーマル
ep01_v006,ep01_007,vc03,廃棄おにぎり問答,3,23.264,25.182,タクミ,でも捨てるんですよね。,でもすてるんですよね。,03/20　廃棄おにぎり問答,06/82　タクミ,assets/scenes/planned/ep01_vc03_onigiri_banter.jpg,assets/scenes/planned/ep01_vc03_onigiri_banter.jpg,assets/scenes/scene_02_onigiri_shelf.jpg,ミナが淡々と注意し、タクミがツッコむ。おにぎり棚、値札、廃棄時間シール。静かな会話コメディ。 タクミは全カットで同一人物として固定。キャラID: takumi。20歳前後の若い日本人男性、細身で少し猫背、短い黒髪で軽い寝癖、丸めの目、驚きや困惑が表情に出やすい普通の新人夜勤バイト。制服は全カットで同じ、濃紺ベースに深緑の前身頃、白い横ライン、緑の襟、左胸に名札「タクミ」。顔をクールな主人公顔にしない。髪型、顔立ち、制服配色、名札位置を変えない。ミナの制服と同じ店舗制服にするが、女性用に見せない。 ミナは全カットで同一人物として固定。キャラID: mina。20代前半の日本人女性、黒髪の低いひとつ結び、前髪は自然に下ろしすぎず整える、落ち着いた目、無表情に近い淡々とした顔、背筋がまっすぐ。制服はタクミと同じ店舗制服で、濃紺ベースに深緑の前身頃、白い横ライン、緑の襟、左胸に名札「ミナ」。華美にしない。髪型、顔立ち、制服配色、名札位置を変えない。ボブやロングヘアへ変更しない。 2Dアニメイラスト、ビジュアルノベル風、ゲーム立ち絵風、アニメ塗り、セルルック、線画がはっきりしたキャラクターデザイン、非写実的。人物をフォトリアルにしない。,発話ログ　06/82 / 担当　タクミ / 本日の営業　継続中
ep01_v007,ep01_008,vc03,廃棄おにぎり問答,3,25.432,31.288,ミナ,捨てるものと食べていいものの間には、店長という深い谷がある。,すてるものとたべていいもののあいだにワ、てんちょうというふかいたにがある。,03/20　廃棄おにぎり問答,07/82　ミナ,assets/scenes/planned/ep01_vc03_onigiri_banter.jpg,assets/scenes/planned/ep01_vc03_onigiri_banter.jpg,assets/scenes/scene_02_onigiri_shelf.jpg,ミナが淡々と注意し、タクミがツッコむ。おにぎり棚、値札、廃棄時間シール。静かな会話コメディ。 タクミは全カットで同一人物として固定。キャラID: takumi。20歳前後の若い日本人男性、細身で少し猫背、短い黒髪で軽い寝癖、丸めの目、驚きや困惑が表情に出やすい普通の新人夜勤バイト。制服は全カットで同じ、濃紺ベースに深緑の前身頃、白い横ライン、緑の襟、左胸に名札「タクミ」。顔をクールな主人公顔にしない。髪型、顔立ち、制服配色、名札位置を変えない。ミナの制服と同じ店舗制服にするが、女性用に見せない。 ミナは全カットで同一人物として固定。キャラID: mina。20代前半の日本人女性、黒髪の低いひとつ結び、前髪は自然に下ろしすぎず整える、落ち着いた目、無表情に近い淡々とした顔、背筋がまっすぐ。制服はタクミと同じ店舗制服で、濃紺ベースに深緑の前身頃、白い横ライン、緑の襟、左胸に名札「ミナ」。華美にしない。髪型、顔立ち、制服配色、名札位置を変えない。ボブやロングヘアへ変更しない。 2Dアニメイラスト、ビジュアルノベル風、ゲーム立ち絵風、アニメ塗り、セルルック、線画がはっきりしたキャラクターデザイン、非写実的。人物をフォトリアルにしない。,発話ログ　07/82 / 担当　ミナ / 声　中2 / ノーマル
ep01_v008,ep01_009,vc03,廃棄おにぎり問答,3,31.588,33.605,タクミ,現実的に深いですね。,げんじつてきにふかいですね。,03/20　廃棄おにぎり問答,08/82　タクミ,assets/scenes/planned/ep01_vc03_onigiri_banter.jpg,assets/scenes/planned/ep01_vc03_onigiri_banter.jpg,assets/scenes/scene_02_onigiri_shelf.jpg,ミナが淡々と注意し、タクミがツッコむ。おにぎり棚、値札、廃棄時間シール。静かな会話コメディ。 タクミは全カットで同一人物として固定。キャラID: takumi。20歳前後の若い日本人男性、細身で少し猫背、短い黒髪で軽い寝癖、丸めの目、驚きや困惑が表情に出やすい普通の新人夜勤バイト。制服は全カットで同じ、濃紺ベースに深緑の前身頃、白い横ライン、緑の襟、左胸に名札「タクミ」。顔をクールな主人公顔にしない。髪型、顔立ち、制服配色、名札位置を変えない。ミナの制服と同じ店舗制服にするが、女性用に見せない。 ミナは全カットで同一人物として固定。キャラID: mina。20代前半の日本人女性、黒髪の低いひとつ結び、前髪は自然に下ろしすぎず整える、落ち着いた目、無表情に近い淡々とした顔、背筋がまっすぐ。制服はタクミと同じ店舗制服で、濃紺ベースに深緑の前身頃、白い横ライン、緑の襟、左胸に名札「ミナ」。華美にしない。髪型、顔立ち、制服配色、名札位置を変えない。ボブやロングヘアへ変更しない。 2Dアニメイラスト、ビジュアルノベル風、ゲーム立ち絵風、アニメ塗り、セルルック、線画がはっきりしたキャラクターデザイン、非写実的。人物をフォトリアルにしない。,発話ログ　08/82 / 担当　タクミ / 本日の営業　継続中
ep01_v009,ep01_008,vc03,廃棄おにぎり問答,3,33.855,35.817,ミナ,落ちるとシフトが減る。,おちるとしふとがへる。,03/20　廃棄おにぎり問答,09/82　ミナ,assets/scenes/planned/ep01_vc03_onigiri_banter.jpg,assets/scenes/planned/ep01_vc03_onigiri_banter.jpg,assets/scenes/scene_02_onigiri_shelf.jpg,ミナが淡々と注意し、タクミがツッコむ。おにぎり棚、値札、廃棄時間シール。静かな会話コメディ。 タクミは全カットで同一人物として固定。キャラID: takumi。20歳前後の若い日本人男性、細身で少し猫背、短い黒髪で軽い寝癖、丸めの目、驚きや困惑が表情に出やすい普通の新人夜勤バイト。制服は全カットで同じ、濃紺ベースに深緑の前身頃、白い横ライン、緑の襟、左胸に名札「タクミ」。顔をクールな主人公顔にしない。髪型、顔立ち、制服配色、名札位置を変えない。ミナの制服と同じ店舗制服にするが、女性用に見せない。 ミナは全カットで同一人物として固定。キャラID: mina。20代前半の日本人女性、黒髪の低いひとつ結び、前髪は自然に下ろしすぎず整える、落ち着いた目、無表情に近い淡々とした顔、背筋がまっすぐ。制服はタクミと同じ店舗制服で、濃紺ベースに深緑の前身頃、白い横ライン、緑の襟、左胸に名札「ミナ」。華美にしない。髪型、顔立ち、制服配色、名札位置を変えない。ボブやロングヘアへ変更しない。 2Dアニメイラスト、ビジュアルノベル風、ゲーム立ち絵風、アニメ塗り、セルルック、線画がはっきりしたキャラクターデザイン、非写実的。人物をフォトリアルにしない。,発話ログ　09/82 / 担当　ミナ / 声　中2 / ノーマル
ep01_v010,ep01_009,vc03,廃棄おにぎり問答,3,36.117,38.436,タクミ,シフト減るのが一番効くやつだ。,しふとへるのがいちばんきくやつだ。,03/20　廃棄おにぎり問答,10/82　タクミ,assets/scenes/planned/ep01_vc03_onigiri_banter.jpg,assets/scenes/planned/ep01_vc03_onigiri_banter.jpg,assets/scenes/scene_02_onigiri_shelf.jpg,ミナが淡々と注意し、タクミがツッコむ。おにぎり棚、値札、廃棄時間シール。静かな会話コメディ。 タクミは全カットで同一人物として固定。キャラID: takumi。20歳前後の若い日本人男性、細身で少し猫背、短い黒髪で軽い寝癖、丸めの目、驚きや困惑が表情に出やすい普通の新人夜勤バイト。制服は全カットで同じ、濃紺ベースに深緑の前身頃、白い横ライン、緑の襟、左胸に名札「タクミ」。顔をクールな主人公顔にしない。髪型、顔立ち、制服配色、名札位置を変えない。ミナの制服と同じ店舗制服にするが、女性用に見せない。 ミナは全カットで同一人物として固定。キャラID: mina。20代前半の日本人女性、黒髪の低いひとつ結び、前髪は自然に下ろしすぎず整える、落ち着いた目、無表情に近い淡々とした顔、背筋がまっすぐ。制服はタクミと同じ店舗制服で、濃紺ベースに深緑の前身頃、白い横ライン、緑の襟、左胸に名札「ミナ」。華美にしない。髪型、顔立ち、制服配色、名札位置を変えない。ボブやロングヘアへ変更しない。 2Dアニメイラスト、ビジュアルノベル風、ゲーム立ち絵風、アニメ塗り、セルルック、線画がはっきりしたキャラクターデザイン、非写実的。人物をフォトリアルにしない。,発話ログ　10/82 / 担当　タクミ / 本日の営業　継続中
