card_id,card_name,card_yomi,culture,cost,card_type,power,power_disp,power_attacker,mana,rare,race,race_text,body_text,flavor_text,illustrator,voice_actor,series_title,create_disp,break_disp,super_dimensional_spell_text,super_dimensional_spell_related_cards,psychic_creature_related_cards,twinpact_related_cards,related_cards,final_forbidden_field_css,name,civilization,keyword,nd_legal,text,tags,source,source_url
1207000,ガロウズ・セブ・カイザー,ガロウズ・セブ・カイザー,水,6,サイキック・クリーチャー,,6000,,,PS,サイバー・コマンド/エイリアン,サイバー・コマンド/エイリアン,"■相手のクリーチャーが攻撃する時、カードを1枚引く。
■自分の手札が5枚以上あるなら、「ブロッカー」を得る。
■W・ブレイカー
（覚醒リンク後：《死海竜ガロウズ・デビルドラゴン》）",さぁ、処刑執行の時間だ！――ガロウズ・セブ・カイザー,Yosuke Adachi,露崎亘,LEGEND OF PLAY'S 2026,-,0,下記に表示している対象カードをパックから入手することで獲得します,1206000,"1207000,1249000",,,,ガロウズ・セブ・カイザー,水,W・ブレイカー,1,"■相手のクリーチャーが攻撃する時、カードを1枚引く。
■自分の手札が5枚以上あるなら、「ブロッカー」を得る。
■W・ブレイカー
（覚醒リンク後：《死海竜ガロウズ・デビルドラゴン》）",,dmps_official_api,https://dmps.takaratomy.co.jp/api1.0/plays/search.json
1216000,竜骨なる者ザビ・リゲル,りゅうこつなるものザビ・リゲル,闇,4,サイキック・クリーチャー,,3000,,,PS,リビング・デッド/エイリアン,リビング・デッド/エイリアン,"■自分のエイリアンが相手の呪文によってバトルゾーンを離れた時、相手の最もパワーの小さいクリーチャー1体を破壊する。（複数あるなら、その中からランダムに1体）
■P'S覚醒リンク：自分のターン開始時または自分の《ガロウズ・セブ・カイザー》がバトルゾーンに出た時、自分の《ガロウズ・セブ・カイザー》と《ハイドラ・ギルザウルス》があれば、それらとこのクリーチャーをすべて裏返し《死海竜ガロウズ・デビルドラゴン》にリンクさせる。",ザビ・リゲル、後方は任せるぜ！――ガロウズ・セブ・カイザー,Yosuke Adachi,-,LEGEND OF PLAY'S 2026,-,0,下記に表示している対象カードをパックから入手することで獲得します,1206000,"1216000,1249000",,,,竜骨なる者ザビ・リゲル,闇,P'S覚醒リンク,1,"■自分のエイリアンが相手の呪文によってバトルゾーンを離れた時、相手の最もパワーの小さいクリーチャー1体を破壊する。（複数あるなら、その中からランダムに1体）
■P'S覚醒リンク：自分のターン開始時または自分の《ガロウズ・セブ・カイザー》がバトルゾーンに出た時、自分の《ガロウズ・セブ・カイザー》と《ハイドラ・ギルザウルス》があれば、それらとこのクリーチャーをすべて裏返し《死海竜ガロウズ・デビルドラゴン》にリンクさせる。",,dmps_official_api,https://dmps.takaratomy.co.jp/api1.0/plays/search.json
1226000,ガイアール・カイザー,ガイアール・カイザー,火,8,サイキック・クリーチャー,,6000,,,PS,レッド・コマンド・ドラゴン/ハンター,レッド・コマンド・ドラゴン/ハンター,"■スピードアタッカー
■自分のシールドがブレイクされる時、そのシールドを見る。手札に加えるかわりにそれを自分の墓地に置いてもよい。そうした場合、自分の超次元ゾーンから、こうして墓地に置いたカードのいずれかと同じコストのハンター・サイキック・クリーチャー1枚をバトルゾーンに出す。
■W・ブレイカー
（覚醒リンク後：《激竜王ガイアール・オウドラゴン》）",受けよ我が剣！ガイアール・セイバー！――ガイアール・カイザー,Hisanobu Kometani,渡辺紘,LEGEND OF PLAY'S 2026,-,0,下記に表示している対象カードをパックから入手することで獲得します,1225000,"1226000,1229000",,,,ガイアール・カイザー,火,"スピードアタッカー,W・ブレイカー",1,"■スピードアタッカー
■自分のシールドがブレイクされる時、そのシールドを見る。手札に加えるかわりにそれを自分の墓地に置いてもよい。そうした場合、自分の超次元ゾーンから、こうして墓地に置いたカードのいずれかと同じコストのハンター・サイキック・クリーチャー1枚をバトルゾーンに出す。
■W・ブレイカー
（覚醒リンク後：《激竜王ガイアール・オウドラゴン》）",,dmps_official_api,https://dmps.takaratomy.co.jp/api1.0/plays/search.json
1224000,ハイドラ・ギルザウルス,ハイドラ・ギルザウルス,火,5,サイキック・クリーチャー,,5000,,,PS,ロック・ビースト/エイリアン,ロック・ビースト/エイリアン,"■相手がコストを支払わずにクリーチャーまたは呪文を実行した時、次の相手のターン終了時まで、相手の使用可能マナを1少なくする。（この効果は重複しない）
（覚醒リンク後：《死海竜ガロウズ・デビルドラゴン》）",前線を切り開け、ハイドラ・ギルザウルス！――ガロウズ・セブ・カイザー,Yosuke Adachi,-,LEGEND OF PLAY'S 2026,-,0,下記に表示している対象カードをパックから入手することで獲得します,1206000,"1224000,1249000",,,,ハイドラ・ギルザウルス,火,,0,"■相手がコストを支払わずにクリーチャーまたは呪文を実行した時、次の相手のターン終了時まで、相手の使用可能マナを1少なくする。（この効果は重複しない）
（覚醒リンク後：《死海竜ガロウズ・デビルドラゴン》）",,dmps_official_api,https://dmps.takaratomy.co.jp/api1.0/plays/search.json
1227000,ブーストグレンオー,ブーストグレンオー,火,5,サイキック・クリーチャー,,3000,,,PS,フレイム・モンスター/ハンター,フレイム・モンスター/ハンター,"■バトルゾーンに出た時、このクリーチャーよりパワーが小さい相手のクリーチャー1体を破壊する。
（覚醒リンク後：《激竜王ガイアール・オウドラゴン》）",ブーストグレンオー、邪魔者は任せた！――ガイアール・カイザー,Hisanobu Kometani,,LEGEND OF PLAY'S 2026,-,0,下記に表示している対象カードをパックから入手することで獲得します,1225000,"1227000,1229000",,,,ブーストグレンオー,火,,1,"■バトルゾーンに出た時、このクリーチャーよりパワーが小さい相手のクリーチャー1体を破壊する。
（覚醒リンク後：《激竜王ガイアール・オウドラゴン》）",,dmps_official_api,https://dmps.takaratomy.co.jp/api1.0/plays/search.json
1228000,ドラゴニック・ピッピー,ドラゴニック・ピッピー,火,3,サイキック・クリーチャー,,2000,+,,PS,ファイアー・バード/ハンター,ファイアー・バード/ハンター,"■P'S覚醒リンク：自分のターン開始時または自分の《ガイアール・カイザー》がバトルゾーンに出た時、自分の《ガイアール・カイザー》と《ブーストグレンオー》があれば、そのクリーチャーとこのクリーチャーをすべて裏返し《激竜王ガイアール・オウドラゴン》にリンクさせる。
■ハンティング",「全員揃ったな！」「さぁ、行くぜッピ！」――ガイアール・カイザー&ドラゴニック・ピッピー,Hisanobu Kometani,新井笙子,LEGEND OF PLAY'S 2026,-,0,下記に表示している対象カードをパックから入手することで獲得します,1225000,"1228000,1229000",,,,ドラゴニック・ピッピー,火,"P'S覚醒リンク,ハンティング",1,"■P'S覚醒リンク：自分のターン開始時または自分の《ガイアール・カイザー》がバトルゾーンに出た時、自分の《ガイアール・カイザー》と《ブーストグレンオー》があれば、そのクリーチャーとこのクリーチャーをすべて裏返し《激竜王ガイアール・オウドラゴン》にリンクさせる。
■ハンティング",,dmps_official_api,https://dmps.takaratomy.co.jp/api1.0/plays/search.json
805000,小結 座美の花,こむすび ザビのはな,闇,2,サイキック・クリーチャー,,1000,,,PS,リビング・デッド/エイリアン,リビング・デッド/エイリアン,"■相手のクリーチャーは、可能であればブロックする。
（覚醒リンク後：《雲龍 ディス・イズ・大横綱》）",横綱を目指してます。日々精進、突進あるのみです。まずはこの一番っす！――小結 座美の花,Yosuke Adachi,あべそういち,PLAY'S CHRONICLE PACK Ⅱ,-,0,,,"805000,811300",,,,小結 座美の花,闇,,1,"■相手のクリーチャーは、可能であればブロックする。
（覚醒リンク後：《雲龍 ディス・イズ・大横綱》）",,dmps_official_api,https://dmps.takaratomy.co.jp/api1.0/plays/search.json
806500,横綱 義留の富士,よこづな ギルのふじ,火,8,サイキック・クリーチャー,,7000,,,PS,フレイム・コマンド/エイリアン,フレイム・コマンド/エイリアン,"■W・ブレイカー
■バトルに勝った時、アンタップする。
（覚醒リンク後：《雲龍 ディス・イズ・大横綱》）",頂上であって同時に崖っぷちっス。いま強くなる稽古と、大横綱になるための稽古の両方をしなくちゃならない。――横綱 義留の富士,Yosuke Adachi,中西正樹,PLAY'S CHRONICLE PACK Ⅱ,-,0,,,"806500,811300",,,,横綱 義留の富士,火,W・ブレイカー,1,"■W・ブレイカー
■バトルに勝った時、アンタップする。
（覚醒リンク後：《雲龍 ディス・イズ・大横綱》）",,dmps_official_api,https://dmps.takaratomy.co.jp/api1.0/plays/search.json
808100,大関 地男の里,おおぜき ジオのさと,自然,3,サイキック・クリーチャー,,2000,,,PS,ワイルド・ベジーズ/エイリアン,ワイルド・ベジーズ/エイリアン,"■自分の他のエイリアンすべてのパワーは+2000される。
■P'S覚醒リンク：自分のターン開始時または自分の《横綱 義留の富士》がバトルゾーンに出た時、自分の《横綱 義留の富士》と《小結 座美の花》があれば、そのクリーチャーとこのクリーチャーをすべて裏返し《雲龍 ディス・イズ・大横綱》にリンクさせる。",強くなるために、体だけでなく心も技も鍛えるっす！――大関 地男の里,Yosuke Adachi,あべそういち,PLAY'S CHRONICLE PACK Ⅱ,-,0,,,"808100,811300",,,,大関 地男の里,自然,P'S覚醒リンク,1,"■自分の他のエイリアンすべてのパワーは+2000される。
■P'S覚醒リンク：自分のターン開始時または自分の《横綱 義留の富士》がバトルゾーンに出た時、自分の《横綱 義留の富士》と《小結 座美の花》があれば、そのクリーチャーとこのクリーチャーをすべて裏返し《雲龍 ディス・イズ・大横綱》にリンクさせる。",,dmps_official_api,https://dmps.takaratomy.co.jp/api1.0/plays/search.json
810000,マザー・エイリアン＜よろこんで＞,マザー・エイリアン＜よろこんで＞,光水,6,サイキック・クリーチャー,,6000,,,PS,エイリアン,エイリアン,"■W・ブレイカー
■自分の、名前に《エイリアン》とあるクリーチャーが破壊される時、そのパワーが0より大きいなら、かわりに自分の最もパワーの小さい、進化でもサイキックでもないエイリアン1体を破壊する。（複数あるなら、その中からランダムに1体）",よろこんで。,Hisanobu Kometani,ユリン千晶,PLAY'S CHRONICLE PACK Ⅱ,-,0,,,"810000,810200",,,,マザー・エイリアン＜よろこんで＞,光水,W・ブレイカー,1,"■W・ブレイカー
■自分の、名前に《エイリアン》とあるクリーチャーが破壊される時、そのパワーが0より大きいなら、かわりに自分の最もパワーの小さい、進化でもサイキックでもないエイリアン1体を破壊する。（複数あるなら、その中からランダムに1体）",,dmps_official_api,https://dmps.takaratomy.co.jp/api1.0/plays/search.json
