id,cut,visualCutId,visualCutTitle,visualCutIndex,start,end,speaker,dialogue,reading,visualLabel,progressLabel,image,plannedImage,fallbackImage,imagePrompt,log
ep01_v001,ep01_001,vc01,深夜コンビニ外観,1,0.0,1.659,ナレーション,午前二時三分。,ごぜんにじさんぷん。,01/20　深夜コンビニ外観,01/83　ナレーション,assets/scenes/scene_01_opening.jpg,assets/scenes/planned/ep01_vc01_store_exterior.jpg,assets/scenes/scene_01_opening.jpg,午前二時三分、国道沿いの日本のコンビニ外観。冷たい青い照明、誰もいない駐車場、静かなSFコメディの始まり。,発話ログ　01/83 / 担当　ナレーション / 深夜帯　進行中
ep01_v002,ep01_002,vc01,深夜コンビニ外観,1,2.159,8.245,ナレーション,国道沿いのコンビニは、冷蔵ケースの低い音だけでできているみたいに静かだった。,こくどうぞいのこんびには、れいぞうけーすのひくいおとだけでできているみたいにしずかだった。,01/20　深夜コンビニ外観,02/83　ナレーション,assets/scenes/scene_01_opening.jpg,assets/scenes/planned/ep01_vc01_store_exterior.jpg,assets/scenes/scene_01_opening.jpg,午前二時三分、国道沿いの日本のコンビニ外観。冷たい青い照明、誰もいない駐車場、静かなSFコメディの始まり。,発話ログ　02/83 / 担当　ナレーション / 深夜帯　進行中
ep01_v003,ep01_004,vc02,おにぎり棚の前のタクミ,2,9.045,15.525,ナレーション,新人夜勤バイトのタクミは、おにぎり棚の前で廃棄時間のシールを見比べていた。,しんじんやきんばいとのたくみは、おにぎりだなのまえではいきじかんのしーるをみくらべていた。,02/20　おにぎり棚の前のタクミ,03/83　ナレーション,assets/scenes/scene_02_onigiri_shelf.jpg,assets/scenes/planned/ep01_vc02_takumi_onigiri_shelf.jpg,assets/scenes/scene_02_onigiri_shelf.jpg,おにぎり棚の前で廃棄シールを見比べるタクミ。新人夜勤バイト、困惑顔。横に冷静なミナ。,発話ログ　03/83 / 担当　ナレーション / 深夜帯　進行中
ep01_v004,ep01_005,vc02,おにぎり棚の前のタクミ,2,16.025,20.621,タクミ,ミナさん。廃棄のおにぎりって、何分前から食べていいんですか。,みなさん。はいきのおにぎりって、なんぷんまえからたべていいんですか。,02/20　おにぎり棚の前のタクミ,04/83　タクミ,assets/scenes/scene_02_onigiri_shelf.jpg,assets/scenes/planned/ep01_vc02_takumi_onigiri_shelf.jpg,assets/scenes/scene_02_onigiri_shelf.jpg,おにぎり棚の前で廃棄シールを見比べるタクミ。新人夜勤バイト、困惑顔。横に冷静なミナ。,発話ログ　04/83 / 担当　タクミ / 本日の営業　継続中
ep01_v005,ep01_006,vc03,廃棄おにぎり問答,3,20.921,22.952,ミナ,食べていいとは言ってない。,たべていいとはいってない。,03/20　廃棄おにぎり問答,05/83　ミナ,assets/scenes/scene_02_onigiri_shelf.jpg,assets/scenes/planned/ep01_vc03_onigiri_banter.jpg,assets/scenes/scene_02_onigiri_shelf.jpg,ミナが淡々と注意し、タクミがツッコむ。おにぎり棚、値札、廃棄時間シール。静かな会話コメディ。,発話ログ　05/83 / 担当　ミナ / 声　まお / ふつー
ep01_v006,ep01_007,vc03,廃棄おにぎり問答,3,23.302,25.119,タクミ,でも捨てるんですよね。,でもすてるんですよね。,03/20　廃棄おにぎり問答,06/83　タクミ,assets/scenes/scene_02_onigiri_shelf.jpg,assets/scenes/planned/ep01_vc03_onigiri_banter.jpg,assets/scenes/scene_02_onigiri_shelf.jpg,ミナが淡々と注意し、タクミがツッコむ。おにぎり棚、値札、廃棄時間シール。静かな会話コメディ。,発話ログ　06/83 / 担当　タクミ / 本日の営業　継続中
ep01_v007,ep01_008,vc03,廃棄おにぎり問答,3,25.369,30.922,ミナ,捨てるものと食べていいものの間には、店長という深い谷がある。,すてるものとたべていいもののあいだには、てんちょうというふかいたにがある。,03/20　廃棄おにぎり問答,07/83　ミナ,assets/scenes/scene_02_onigiri_shelf.jpg,assets/scenes/planned/ep01_vc03_onigiri_banter.jpg,assets/scenes/scene_02_onigiri_shelf.jpg,ミナが淡々と注意し、タクミがツッコむ。おにぎり棚、値札、廃棄時間シール。静かな会話コメディ。,発話ログ　07/83 / 担当　ミナ / 声　まお / ふつー
ep01_v008,ep01_009,vc03,廃棄おにぎり問答,3,31.222,33.132,タクミ,現実的に深いですね。,げんじつてきにふかいですね。,03/20　廃棄おにぎり問答,08/83　タクミ,assets/scenes/scene_02_onigiri_shelf.jpg,assets/scenes/planned/ep01_vc03_onigiri_banter.jpg,assets/scenes/scene_02_onigiri_shelf.jpg,ミナが淡々と注意し、タクミがツッコむ。おにぎり棚、値札、廃棄時間シール。静かな会話コメディ。,発話ログ　08/83 / 担当　タクミ / 本日の営業　継続中
ep01_v009,ep01_008,vc03,廃棄おにぎり問答,3,33.382,35.47,ミナ,落ちるとシフトが減る。,おちるとしふとがへる。,03/20　廃棄おにぎり問答,09/83　ミナ,assets/scenes/scene_02_onigiri_shelf.jpg,assets/scenes/planned/ep01_vc03_onigiri_banter.jpg,assets/scenes/scene_02_onigiri_shelf.jpg,ミナが淡々と注意し、タクミがツッコむ。おにぎり棚、値札、廃棄時間シール。静かな会話コメディ。,発話ログ　09/83 / 担当　ミナ / 声　まお / ふつー
ep01_v010,ep01_009,vc03,廃棄おにぎり問答,3,35.77,38.515,タクミ,地獄が給与明細に出るタイプだ。,じごくがきゅうよめいさいにでるたいぷだ。,03/20　廃棄おにぎり問答,10/83　タクミ,assets/scenes/scene_02_onigiri_shelf.jpg,assets/scenes/planned/ep01_vc03_onigiri_banter.jpg,assets/scenes/scene_02_onigiri_shelf.jpg,ミナが淡々と注意し、タクミがツッコむ。おにぎり棚、値札、廃棄時間シール。静かな会話コメディ。,発話ログ　10/83 / 担当　タクミ / 本日の営業　継続中
