id,cut,role,character,text,direction,pause_after_ms
ep01_v001,ep01_001,narration,ナレーション,午前二時三分。,深夜の静けさ。短く置く,500
ep01_v002,ep01_002,narration,ナレーション,国道沿いのコンビニは、冷蔵ケースの低い音だけでできているみたいに静かだった。,落ち着いた低めの声。少し文学的に,800
ep01_v003,ep01_004,narration,ナレーション,新人夜勤バイトのタクミは、おにぎり棚の前で廃棄時間のシールを見比べていた。,説明は軽く。映像を邪魔しない,500
ep01_v004,ep01_005,dialogue,タクミ,エリさん。廃棄のおにぎりって、何分前から食べていいんですか。,軽い雑談。悪気はない,300
ep01_v005,ep01_006,dialogue,エリ,食べていいとは言ってない。,淡々と即答,350
ep01_v006,ep01_007,dialogue,タクミ,でも捨てるんですよね。,素朴な反論,250
ep01_v007,ep01_008,dialogue,エリ,捨てるものと食べていいものの間には、店長という深い谷がある。,真顔で業務ルールのように,300
ep01_v008,ep01_009,dialogue,タクミ,現実的に深いですね。,短くツッコむ,250
ep01_v009,ep01_008,dialogue,エリ,落ちるとシフトが減る。,淡々。怖い現実を普通に言う,300
ep01_v010,ep01_009,dialogue,タクミ,シフト減るのが一番効くやつだ。,少し呆れて小さく,600
ep01_v011,ep01_010,dialogue,エリ,二時十五分、雑誌返品。二時十七分、第十三レジ。,予定確認の口調。異常扱いしない,350
ep01_v012,ep01_011,dialogue,タクミ,はい。……はい？,聞き流しかけて引っかかる,400
ep01_v013,ep01_012,sfx,SE,蛍光灯が一度だけ、ぱちんと瞬く。,音響メモ。短い電気音,500
ep01_v014,ep01_014,narration,ナレーション,タクミが聞き返した瞬間、雑誌棚とコピー機の間に、銀色の古いレジが現れた。,静かに不穏。煽りすぎない,500
ep01_v015,ep01_015,dialogue,第十三レジ,第十三レジ。ただいま営業中。,無機質な店内端末音声,500
ep01_v016,ep01_016,dialogue,タクミ,増えた……。,呆然。小さく,350
ep01_v017,ep01_017,dialogue,エリ,増えるよ。,当然のように短く,300
ep01_v018,ep01_018,dialogue,タクミ,コンビニって夜になるとレジが増えるんですか。,常識で確認する困惑,250
ep01_v019,ep01_019,dialogue,エリ,夜勤はだいたいそう。,淡々。笑わせにいかない,250
ep01_v020,ep01_018,dialogue,タクミ,絶対違う。,即ツッコミ,650
ep01_v021,ep01_020,sfx,SE,自動ドアが開く。,音響メモ。入店チャイムは控えめ,300
ep01_v022,ep01_021,narration,ナレーション,入ってきたのは、くたびれたスーツ姿の男だった。,淡々と紹介,250
ep01_v023,ep01_021,narration,ナレーション,肩の小さな液晶には、残業時間二百七十六時間、と表示されている。,少し異常さを置く,250
ep01_v024,ep01_021,narration,ナレーション,首元の透明なパッチが、レジの電子音に合わせて一度だけ銀色に光った。,静かに不穏,500
ep01_v025,ep01_022,dialogue,未来の会社員,返品、お願いします。,疲れて申し訳なさそうに,350
ep01_v026,ep01_023,dialogue,エリ,レシートはお持ちですか。,完全に通常接客,250
ep01_v027,ep01_024,dialogue,未来の会社員,五十年後に発行されます。,真面目。おかしさを自覚しすぎない,450
ep01_v028,ep01_025,dialogue,タクミ,エリさん。対応マニュアルあります？,小声で不安,250
ep01_v029,ep01_026,dialogue,エリ,まず、いらっしゃいませ。,教育係として淡々と,250
ep01_v030,ep01_025,dialogue,タクミ,そこからなんですね。,小さく受ける,500
ep01_v031,ep01_027,narration,ナレーション,男は袋からおにぎりを出した。,短くつなぐ,200
ep01_v032,ep01_028,narration,ナレーション,パッケージには、完全栄養おにぎり・思い出の鮭。,商品名を少し印象的に,250
ep01_v033,ep01_028,narration,ナレーション,製造年月日、二〇七四年六月十二日。,日付をはっきり,500
ep01_v034,ep01_029,dialogue,第十三レジ,警告。この商品は未来の食糧危機解決候補です。,事務的。重大さを煽らない,200
ep01_v035,ep01_030,dialogue,第十三レジ,誤返品により人類生存率が三・二パーセント低下します。,数字をはっきり。冷静,450
ep01_v036,ep01_031,dialogue,タクミ,エリさん、僕の時給で扱っていい数字じゃないです。,現実的にツッコむ,450
ep01_v037,ep01_032,dialogue,未来の会社員,うちの課が試験販売前の商品を過去へ誤配送しまして。,会社員の説明口調,250
ep01_v038,ep01_033,dialogue,未来の会社員,返品しないと始末書が増えます。,切実。人類より仕事が近い,300
ep01_v039,ep01_034,dialogue,タクミ,人類より始末書を気にしてる。,短く呆れる,250
ep01_v040,ep01_035,dialogue,未来の会社員,会社員なので。,疲労と説得力,250
ep01_v041,ep01_034,dialogue,タクミ,説得力が嫌だ。,低めにぼそっと,550
ep01_v042,ep01_036,narration,ナレーション,第十三レジの画面には、通常返品、時空返品、存在取消、温める、店長呼出、と並んでいた。,メニューを読み上げる。長すぎない,350
ep01_v043,ep01_037,dialogue,タクミ,店長呼出があります。,業務画面を読む感じ,200
ep01_v044,ep01_038,dialogue,エリ,押さない。,即答。低温,200
ep01_v045,ep01_037,dialogue,タクミ,なぜ。,短く,150
ep01_v046,ep01_038,dialogue,エリ,二時以降は出ない。,当然のように,200
ep01_v047,ep01_037,dialogue,タクミ,店長呼出の存在意義。,ぼそっと,450
ep01_v048,ep01_039,dialogue,第十三レジ,残り時間、三分。,無機質に短く,200
ep01_v049,ep01_040,dialogue,第十三レジ,二時二十分を過ぎると、この商品は現代店舗の新商品として定着します。,案内端末のように,200
ep01_v050,ep01_040,dialogue,第十三レジ,仕入れ原価、一個七万二千円。,最後の金額をはっきり,350
ep01_v051,ep01_041,dialogue,タクミ,返品しましょう。,即決。現実的な焦り,350
ep01_v052,ep01_042,dialogue,エリ,こちらの商品、温めますか。,完全に通常業務として読む,250
ep01_v053,ep01_043,dialogue,タクミ,この状況で！？,反射的。叫びすぎない,250
