id,role,character,text,direction,priority
ep01_nar_001,narration,ナレーション,午前二時三分。国道沿いのコンビニは、冷蔵ケースの低い音だけで静かだった。,低めで静かに。深夜の空気を作る。,A
ep01_nar_002,narration,ナレーション,雑誌棚とコピー機の間に、銀色の古いレジが現れた。,淡々と不穏に。説明しすぎない。,A
ep01_nar_003,narration,ナレーション,男が差し出したのは、完全栄養おにぎり・思い出の鮭。,少し奇妙さを含める。,A
ep01_nar_004,narration,ナレーション,電子レンジの中で、おにぎりが淡く光り、未来の食堂が映った。,ここだけ温かい余韻。,A
ep01_nar_005,narration,ナレーション,世界が少しだけ救われても、夜勤は終わらない。,締め。少し乾いた余韻。,A
ep01_tak_001,dialogue,タクミ,エリさん。廃棄のおにぎりって、何分前から食べていいんですか。,軽い雑談。食い気はあるが悪気はない。,A
ep01_tak_002,dialogue,タクミ,はい。……はい？,聞き流しかけて引っかかる。,A
ep01_tak_003,dialogue,タクミ,増えた……。,呆然。小さく。,A
ep01_tak_004,dialogue,タクミ,コンビニって夜になるとレジが増えるんですか。,困惑。常識で確認する。,B
ep01_tak_005,dialogue,タクミ,エリさん。対応マニュアルあります？,不安だが業務として処理しようとする。,A
ep01_tak_006,dialogue,タクミ,エリさん、僕の時給で扱っていい数字じゃないです。,焦りすぎず現実的にツッコむ。,A
ep01_tak_007,dialogue,タクミ,人類より始末書を気にしてる。,短く呆れる。,B
ep01_tak_008,dialogue,タクミ,この状況で！？,反射的なツッコミ。叫びすぎない。,A
ep01_tak_009,dialogue,タクミ,世界の分岐を電子レンジに入れないでください。,一息で言い切る。強めのツッコミ。,A
ep01_tak_010,dialogue,タクミ,最後が一番現実的だ。,オチ。やや力が抜ける。,A
ep01_min_001,dialogue,エリ,食べていいとは言ってない。,淡々。即答。,A
ep01_min_002,dialogue,エリ,捨てるものと食べていいものの間には、店長という深い谷がある。,真顔で業務ルールのように。,B
ep01_min_003,dialogue,エリ,二時十五分、雑誌返品。二時十七分、第十三レジ。,予定確認。異常扱いしない。,A
ep01_min_004,dialogue,エリ,増えるよ。,短く当然のように。,B
ep01_min_005,dialogue,エリ,夜勤はだいたいそう。,真面目に言う。笑わせにいかない。,B
ep01_min_006,dialogue,エリ,レシートはお持ちですか。,通常接客。平常心。,A
ep01_min_007,dialogue,エリ,まず、いらっしゃいませ。,教育係として淡々と。,A
ep01_min_008,dialogue,エリ,押さない。,即答。低温。,B
ep01_min_009,dialogue,エリ,こちらの商品、温めますか。,完全に通常業務として読む。,A
ep01_min_010,dialogue,エリ,このおにぎりは、ちゃんと作った方がいいです。,短く、でも少しだけ芯を出す。,A
ep01_reg_001,dialogue,第十三レジ,第十三レジ。ただいま営業中。,無機質な案内音声。,A
ep01_reg_002,dialogue,第十三レジ,警告。この商品は未来の食糧危機解決候補です。,事務的。重大さを煽らない。,A
ep01_reg_003,dialogue,第十三レジ,誤返品により人類生存率が三・二パーセント低下します。,数値をはっきり。冷静。,A
ep01_reg_004,dialogue,第十三レジ,残り時間、三分。,短く無機質。,B
ep01_reg_005,dialogue,第十三レジ,二時二十分を過ぎると、この商品は現代店舗の新商品として定着します。,長め。案内端末のように。,B
ep01_reg_006,dialogue,第十三レジ,加熱により時空状態が安定しました。,処理完了通知。,A
ep01_reg_007,dialogue,第十三レジ,履歴メモを入力してください。,通常のレジ操作案内風。,B
ep01_reg_008,dialogue,第十三レジ,記録しました。,短く。,B
ep01_reg_009,dialogue,第十三レジ,未来とは、だいたい雑なメモの積み重ねです。,無機質なボケ。感情は乗せない。,B
ep01_sal_001,dialogue,未来の会社員,返品、お願いします。,疲れて申し訳なさそうに。,A
ep01_sal_002,dialogue,未来の会社員,五十年後に発行されます。,真面目。変なことを言っている自覚は薄い。,A
ep01_sal_003,dialogue,未来の会社員,うちの課が試験販売前の商品を過去へ誤配送しまして。,会社員の説明口調。,B
ep01_sal_004,dialogue,未来の会社員,返品しないと始末書が増えます。,切実。人類より仕事が近い。,A
ep01_sal_005,dialogue,未来の会社員,会社員なので。,疲労と説得力。,A
ep01_sal_006,dialogue,未来の会社員,お願いします。,電子レンジ前。切実。,B
ep01_sal_007,dialogue,未来の会社員,開発記録です。これが、ちゃんと届けば……。,息を呑む。ここだけ感情を出す。,A
ep01_sal_008,dialogue,未来の会社員,未来のコーヒー、高いので。,少し気が抜ける。,B
ep01_zak_001,dialogue,座木山辰哉,コピー、白黒でいいよ。色がつくと記憶が増えるから。,普通の常連のように。怖がらせすぎない。,B
