deck_name,candidate_origin,route_type,route_score,adjusted_route_score,required_mana_estimate,earliest_route_turn,route_reproducibility_score,route_risk_score,nearest_known_combo,known_combo_similarity,target_meta_decks,route_seed_cards,seed_quality_penalty,seed_quality_reasons,state_chain,required_support_roles,missing_support_states,route_evaluation_comment,strategy_note,avg_seed_cost,difference_from_known_combo,known_combo_pattern_type,max_seed_cost,meta_hit_reason,raw_adjusted_route_score,score_cap_reasons,seed_cards,strict_quality_filter,target_meta_deck_rows
route_seed lock_confirmed_win: 軽量メタからロック制圧 #5,route_based,lock_confirmed_win,69,63,2,3,61,28,グスタフ 落城の計 拘束ループ,14,光単裁きの紋章Z(ND/Tier Current);自然単デンジャデオン(ND/Tier Current),水面護り ハコフ / 蓄積された魔力の縛り / 怪魔城 ポチョムキン / 堕魔 ザンバリー,12,seed内の役割が重複しすぎている可能性,水面護り ハコフ/蓄積された魔力の縛り -> 怪魔城 ポチョムキン -> 堕魔 ザンバリー -> lock_confirmed_win (opponent_action_lock:+2 / disruption:+2 / defense:+1 / win_progress:+1),サーチ/ドロー;ロック後の勝ち手段,access_to_seed;post_lock_payoff,研究検証候補です。 ただしスコア上限理由があります: 既知コンボ類似度が20未満で、構造接続が未確認;lock_confirmed_winだが完全ロックかは未確認;再現性スコアが中程度;不足補助役割が残っている。 カード間の実接続、フォーマット適合、環境対面を確認してください。,route_seed_generator v1。plan=軽量メタからロック制圧。平均コスト=1.00 / 最大コスト=1。この候補は保存前にroute_candidate_evaluatorで現実補正してください。,1.0,グスタフ 落城の計 拘束ループとの共通点は限定的です。 pattern_type=ループ / seed=水面護り ハコフ / 蓄積された魔力の縛り / 怪魔城 ポチョムキン / 堕魔 ザンバリー。ロック/制圧方向は既知構造に近い一方、seedカードの接続順や盤面リセットからロックへ向かう点が差分です。,ループ,1,光単裁きの紋章Zはカウンター系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。 / 自然単デンジャデオンはビッグマナ系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。,90,既知コンボ類似度が20未満で、構造接続が未確認;lock_confirmed_winだが完全ロックかは未確認;再現性スコアが中程度;不足補助役割が残っている,水面護り ハコフ/蓄積された魔力の縛り / 怪魔城 ポチョムキン / 堕魔 ザンバリー,True,"[{'deck_name': '光単裁きの紋章Z', 'format': 'ND', 'tier': 'Current', 'deck_type': 'カウンター', 'meta_hit_score': 18, 'meta_hit_reason': '光単裁きの紋章Zはカウンター系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。'}, {'deck_name': '自然単デンジャデオン', 'format': 'ND', 'tier': 'Current', 'deck_type': 'ビッグマナ', 'meta_hit_score': 18, 'meta_hit_reason': '自然単デンジャデオンはビッグマナ系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。'}]"
route_seed lock_confirmed_win: 軽量メタからロック制圧 #6,route_based,lock_confirmed_win,69,63,2,3,61,28,ミラダンテXII ラフルル 呪文召喚ロック,14,光単裁きの紋章Z(ND/Tier Current);自然単デンジャデオン(ND/Tier Current),水面護り ハコフ / 蓄積された魔力の縛り / 怪魔城 ポチョムキン / 死神術士デスマーチ,12,seed内の役割が重複しすぎている可能性,水面護り ハコフ/蓄積された魔力の縛り -> 怪魔城 ポチョムキン -> 死神術士デスマーチ -> lock_confirmed_win (opponent_action_lock:+2 / disruption:+2 / defense:+1 / win_progress:+1),サーチ/ドロー;ロック後の勝ち手段,access_to_seed;post_lock_payoff,研究検証候補です。 ただしスコア上限理由があります: 既知コンボ類似度が20未満で、構造接続が未確認;lock_confirmed_winだが完全ロックかは未確認;再現性スコアが中程度;不足補助役割が残っている。 カード間の実接続、フォーマット適合、環境対面を確認してください。,route_seed_generator v1。plan=軽量メタからロック制圧。平均コスト=1.00 / 最大コスト=1。この候補は保存前にroute_candidate_evaluatorで現実補正してください。,1.0,ミラダンテXII ラフルル 呪文召喚ロックとの共通点は限定的です。 pattern_type=制約解除 / seed=水面護り ハコフ / 蓄積された魔力の縛り / 怪魔城 ポチョムキン / 死神術士デスマーチ。ロック/制圧方向は既知構造に近い一方、seedカードの接続順や盤面リセットからロックへ向かう点が差分です。,制約解除,1,光単裁きの紋章Zはカウンター系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。 / 自然単デンジャデオンはビッグマナ系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。,90,既知コンボ類似度が20未満で、構造接続が未確認;lock_confirmed_winだが完全ロックかは未確認;再現性スコアが中程度;不足補助役割が残っている,水面護り ハコフ/蓄積された魔力の縛り / 怪魔城 ポチョムキン / 死神術士デスマーチ,True,"[{'deck_name': '光単裁きの紋章Z', 'format': 'ND', 'tier': 'Current', 'deck_type': 'カウンター', 'meta_hit_score': 18, 'meta_hit_reason': '光単裁きの紋章Zはカウンター系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。'}, {'deck_name': '自然単デンジャデオン', 'format': 'ND', 'tier': 'Current', 'deck_type': 'ビッグマナ', 'meta_hit_score': 18, 'meta_hit_reason': '自然単デンジャデオンはビッグマナ系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。'}]"
route_seed lock_confirmed_win: 軽量メタからロック制圧 #7,route_based,lock_confirmed_win,69,63,2,3,61,28,グスタフ 落城の計 拘束ループ,14,光単裁きの紋章Z(ND/Tier Current);自然単デンジャデオン(ND/Tier Current),水面護り ハコフ / 蓄積された魔力の縛り / 怪魔城 ポチョムキン / 貝獣 ホタッテ,12,seed内の役割が重複しすぎている可能性,水面護り ハコフ/蓄積された魔力の縛り -> 怪魔城 ポチョムキン -> 貝獣 ホタッテ -> lock_confirmed_win (opponent_action_lock:+2 / disruption:+2 / defense:+1 / win_progress:+1),サーチ/ドロー;ロック後の勝ち手段,access_to_seed;post_lock_payoff,研究検証候補です。 ただしスコア上限理由があります: 既知コンボ類似度が20未満で、構造接続が未確認;lock_confirmed_winだが完全ロックかは未確認;再現性スコアが中程度;不足補助役割が残っている。 カード間の実接続、フォーマット適合、環境対面を確認してください。,route_seed_generator v1。plan=軽量メタからロック制圧。平均コスト=1.00 / 最大コスト=1。この候補は保存前にroute_candidate_evaluatorで現実補正してください。,1.0,グスタフ 落城の計 拘束ループとの共通点は限定的です。 pattern_type=ループ / seed=水面護り ハコフ / 蓄積された魔力の縛り / 怪魔城 ポチョムキン / 貝獣 ホタッテ。ロック/制圧方向は既知構造に近い一方、seedカードの接続順や盤面リセットからロックへ向かう点が差分です。,ループ,1,光単裁きの紋章Zはカウンター系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。 / 自然単デンジャデオンはビッグマナ系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。,90,既知コンボ類似度が20未満で、構造接続が未確認;lock_confirmed_winだが完全ロックかは未確認;再現性スコアが中程度;不足補助役割が残っている,水面護り ハコフ/蓄積された魔力の縛り / 怪魔城 ポチョムキン / 貝獣 ホタッテ,True,"[{'deck_name': '光単裁きの紋章Z', 'format': 'ND', 'tier': 'Current', 'deck_type': 'カウンター', 'meta_hit_score': 18, 'meta_hit_reason': '光単裁きの紋章Zはカウンター系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。'}, {'deck_name': '自然単デンジャデオン', 'format': 'ND', 'tier': 'Current', 'deck_type': 'ビッグマナ', 'meta_hit_score': 18, 'meta_hit_reason': '自然単デンジャデオンはビッグマナ系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。'}]"
route_seed lock_confirmed_win: 軽量メタからロック制圧 #9,route_based,lock_confirmed_win,69,63,2,3,61,28,グスタフ 落城の計 拘束ループ,14,光単裁きの紋章Z(ND/Tier Current);自然単デンジャデオン(ND/Tier Current),水面護り ハコフ / 蓄積された魔力の縛り / 封魔ウェバリス / 堕魔 ザンバリー,12,seed内の役割が重複しすぎている可能性,水面護り ハコフ/蓄積された魔力の縛り -> 封魔ウェバリス -> 堕魔 ザンバリー -> lock_confirmed_win (opponent_action_lock:+2 / disruption:+2 / defense:+1 / win_progress:+1),サーチ/ドロー;ロック後の勝ち手段,access_to_seed;post_lock_payoff,研究検証候補です。 ただしスコア上限理由があります: 既知コンボ類似度が20未満で、構造接続が未確認;lock_confirmed_winだが完全ロックかは未確認;再現性スコアが中程度;不足補助役割が残っている。 カード間の実接続、フォーマット適合、環境対面を確認してください。,route_seed_generator v1。plan=軽量メタからロック制圧。平均コスト=1.00 / 最大コスト=1。この候補は保存前にroute_candidate_evaluatorで現実補正してください。,1.0,グスタフ 落城の計 拘束ループとの共通点は限定的です。 pattern_type=ループ / seed=水面護り ハコフ / 蓄積された魔力の縛り / 封魔ウェバリス / 堕魔 ザンバリー。ロック/制圧方向は既知構造に近い一方、seedカードの接続順や盤面リセットからロックへ向かう点が差分です。,ループ,1,光単裁きの紋章Zはカウンター系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。 / 自然単デンジャデオンはビッグマナ系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。,90,既知コンボ類似度が20未満で、構造接続が未確認;lock_confirmed_winだが完全ロックかは未確認;再現性スコアが中程度;不足補助役割が残っている,水面護り ハコフ/蓄積された魔力の縛り / 封魔ウェバリス / 堕魔 ザンバリー,True,"[{'deck_name': '光単裁きの紋章Z', 'format': 'ND', 'tier': 'Current', 'deck_type': 'カウンター', 'meta_hit_score': 18, 'meta_hit_reason': '光単裁きの紋章Zはカウンター系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。'}, {'deck_name': '自然単デンジャデオン', 'format': 'ND', 'tier': 'Current', 'deck_type': 'ビッグマナ', 'meta_hit_score': 18, 'meta_hit_reason': '自然単デンジャデオンはビッグマナ系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。'}]"
route_seed lock_confirmed_win: 軽量メタからロック制圧 #10,route_based,lock_confirmed_win,69,63,2,3,61,28,グスタフ 落城の計 拘束ループ,14,光単裁きの紋章Z(ND/Tier Current);自然単デンジャデオン(ND/Tier Current),水面護り ハコフ / 蓄積された魔力の縛り / 封魔ウェバリス / 死神術士デスマーチ,12,seed内の役割が重複しすぎている可能性,水面護り ハコフ/蓄積された魔力の縛り -> 封魔ウェバリス -> 死神術士デスマーチ -> lock_confirmed_win (opponent_action_lock:+2 / disruption:+2 / defense:+1 / win_progress:+1),サーチ/ドロー;ロック後の勝ち手段,access_to_seed;post_lock_payoff,研究検証候補です。 ただしスコア上限理由があります: 既知コンボ類似度が20未満で、構造接続が未確認;lock_confirmed_winだが完全ロックかは未確認;再現性スコアが中程度;不足補助役割が残っている。 カード間の実接続、フォーマット適合、環境対面を確認してください。,route_seed_generator v1。plan=軽量メタからロック制圧。平均コスト=1.00 / 最大コスト=1。この候補は保存前にroute_candidate_evaluatorで現実補正してください。,1.0,グスタフ 落城の計 拘束ループとの共通点は限定的です。 pattern_type=ループ / seed=水面護り ハコフ / 蓄積された魔力の縛り / 封魔ウェバリス / 死神術士デスマーチ。ロック/制圧方向は既知構造に近い一方、seedカードの接続順や盤面リセットからロックへ向かう点が差分です。,ループ,1,光単裁きの紋章Zはカウンター系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。 / 自然単デンジャデオンはビッグマナ系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。,90,既知コンボ類似度が20未満で、構造接続が未確認;lock_confirmed_winだが完全ロックかは未確認;再現性スコアが中程度;不足補助役割が残っている,水面護り ハコフ/蓄積された魔力の縛り / 封魔ウェバリス / 死神術士デスマーチ,True,"[{'deck_name': '光単裁きの紋章Z', 'format': 'ND', 'tier': 'Current', 'deck_type': 'カウンター', 'meta_hit_score': 18, 'meta_hit_reason': '光単裁きの紋章Zはカウンター系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。'}, {'deck_name': '自然単デンジャデオン', 'format': 'ND', 'tier': 'Current', 'deck_type': 'ビッグマナ', 'meta_hit_score': 18, 'meta_hit_reason': '自然単デンジャデオンはビッグマナ系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。'}]"
route_seed lock_confirmed_win: 軽量メタからロック制圧 #11,route_based,lock_confirmed_win,69,63,2,3,61,28,グスタフ 落城の計 拘束ループ,14,光単裁きの紋章Z(ND/Tier Current);自然単デンジャデオン(ND/Tier Current),水面護り ハコフ / 蓄積された魔力の縛り / 封魔ウェバリス / 貝獣 ホタッテ,12,seed内の役割が重複しすぎている可能性,水面護り ハコフ/蓄積された魔力の縛り -> 封魔ウェバリス -> 貝獣 ホタッテ -> lock_confirmed_win (opponent_action_lock:+2 / disruption:+2 / defense:+1 / win_progress:+1),サーチ/ドロー;ロック後の勝ち手段,access_to_seed;post_lock_payoff,研究検証候補です。 ただしスコア上限理由があります: 既知コンボ類似度が20未満で、構造接続が未確認;lock_confirmed_winだが完全ロックかは未確認;再現性スコアが中程度;不足補助役割が残っている。 カード間の実接続、フォーマット適合、環境対面を確認してください。,route_seed_generator v1。plan=軽量メタからロック制圧。平均コスト=1.00 / 最大コスト=1。この候補は保存前にroute_candidate_evaluatorで現実補正してください。,1.0,グスタフ 落城の計 拘束ループとの共通点は限定的です。 pattern_type=ループ / seed=水面護り ハコフ / 蓄積された魔力の縛り / 封魔ウェバリス / 貝獣 ホタッテ。ロック/制圧方向は既知構造に近い一方、seedカードの接続順や盤面リセットからロックへ向かう点が差分です。,ループ,1,光単裁きの紋章Zはカウンター系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。 / 自然単デンジャデオンはビッグマナ系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。,90,既知コンボ類似度が20未満で、構造接続が未確認;lock_confirmed_winだが完全ロックかは未確認;再現性スコアが中程度;不足補助役割が残っている,水面護り ハコフ/蓄積された魔力の縛り / 封魔ウェバリス / 貝獣 ホタッテ,True,"[{'deck_name': '光単裁きの紋章Z', 'format': 'ND', 'tier': 'Current', 'deck_type': 'カウンター', 'meta_hit_score': 18, 'meta_hit_reason': '光単裁きの紋章Zはカウンター系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。'}, {'deck_name': '自然単デンジャデオン', 'format': 'ND', 'tier': 'Current', 'deck_type': 'ビッグマナ', 'meta_hit_score': 18, 'meta_hit_reason': '自然単デンジャデオンはビッグマナ系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。'}]"
route_seed lock_confirmed_win: 軽量メタからロック制圧 #13,route_based,lock_confirmed_win,69,63,2,3,61,28,グスタフ 落城の計 拘束ループ,14,光単裁きの紋章Z(ND/Tier Current);自然単デンジャデオン(ND/Tier Current),水面護り ハコフ / 蓄積された魔力の縛り / 螺神兵ボロック / 堕魔 ザンバリー,12,seed内の役割が重複しすぎている可能性,水面護り ハコフ/蓄積された魔力の縛り -> 螺神兵ボロック -> 堕魔 ザンバリー -> lock_confirmed_win (opponent_action_lock:+2 / disruption:+2 / defense:+1 / win_progress:+1),サーチ/ドロー;ロック後の勝ち手段,access_to_seed;post_lock_payoff,研究検証候補です。 ただしスコア上限理由があります: 既知コンボ類似度が20未満で、構造接続が未確認;lock_confirmed_winだが完全ロックかは未確認;再現性スコアが中程度;不足補助役割が残っている。 カード間の実接続、フォーマット適合、環境対面を確認してください。,route_seed_generator v1。plan=軽量メタからロック制圧。平均コスト=1.00 / 最大コスト=1。この候補は保存前にroute_candidate_evaluatorで現実補正してください。,1.0,グスタフ 落城の計 拘束ループとの共通点は限定的です。 pattern_type=ループ / seed=水面護り ハコフ / 蓄積された魔力の縛り / 螺神兵ボロック / 堕魔 ザンバリー。ロック/制圧方向は既知構造に近い一方、seedカードの接続順や盤面リセットからロックへ向かう点が差分です。,ループ,1,光単裁きの紋章Zはカウンター系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。 / 自然単デンジャデオンはビッグマナ系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。,90,既知コンボ類似度が20未満で、構造接続が未確認;lock_confirmed_winだが完全ロックかは未確認;再現性スコアが中程度;不足補助役割が残っている,水面護り ハコフ/蓄積された魔力の縛り / 螺神兵ボロック / 堕魔 ザンバリー,True,"[{'deck_name': '光単裁きの紋章Z', 'format': 'ND', 'tier': 'Current', 'deck_type': 'カウンター', 'meta_hit_score': 18, 'meta_hit_reason': '光単裁きの紋章Zはカウンター系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。'}, {'deck_name': '自然単デンジャデオン', 'format': 'ND', 'tier': 'Current', 'deck_type': 'ビッグマナ', 'meta_hit_score': 18, 'meta_hit_reason': '自然単デンジャデオンはビッグマナ系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。'}]"
route_seed lock_confirmed_win: 軽量メタからロック制圧 #14,route_based,lock_confirmed_win,69,63,2,3,61,28,グスタフ 落城の計 拘束ループ,14,光単裁きの紋章Z(ND/Tier Current);自然単デンジャデオン(ND/Tier Current),水面護り ハコフ / 蓄積された魔力の縛り / 螺神兵ボロック / 死神術士デスマーチ,12,seed内の役割が重複しすぎている可能性,水面護り ハコフ/蓄積された魔力の縛り -> 螺神兵ボロック -> 死神術士デスマーチ -> lock_confirmed_win (opponent_action_lock:+2 / disruption:+2 / defense:+1 / win_progress:+1),サーチ/ドロー;ロック後の勝ち手段,access_to_seed;post_lock_payoff,研究検証候補です。 ただしスコア上限理由があります: 既知コンボ類似度が20未満で、構造接続が未確認;lock_confirmed_winだが完全ロックかは未確認;再現性スコアが中程度;不足補助役割が残っている。 カード間の実接続、フォーマット適合、環境対面を確認してください。,route_seed_generator v1。plan=軽量メタからロック制圧。平均コスト=1.00 / 最大コスト=1。この候補は保存前にroute_candidate_evaluatorで現実補正してください。,1.0,グスタフ 落城の計 拘束ループとの共通点は限定的です。 pattern_type=ループ / seed=水面護り ハコフ / 蓄積された魔力の縛り / 螺神兵ボロック / 死神術士デスマーチ。ロック/制圧方向は既知構造に近い一方、seedカードの接続順や盤面リセットからロックへ向かう点が差分です。,ループ,1,光単裁きの紋章Zはカウンター系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。 / 自然単デンジャデオンはビッグマナ系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。,90,既知コンボ類似度が20未満で、構造接続が未確認;lock_confirmed_winだが完全ロックかは未確認;再現性スコアが中程度;不足補助役割が残っている,水面護り ハコフ/蓄積された魔力の縛り / 螺神兵ボロック / 死神術士デスマーチ,True,"[{'deck_name': '光単裁きの紋章Z', 'format': 'ND', 'tier': 'Current', 'deck_type': 'カウンター', 'meta_hit_score': 18, 'meta_hit_reason': '光単裁きの紋章Zはカウンター系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。'}, {'deck_name': '自然単デンジャデオン', 'format': 'ND', 'tier': 'Current', 'deck_type': 'ビッグマナ', 'meta_hit_score': 18, 'meta_hit_reason': '自然単デンジャデオンはビッグマナ系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。'}]"
route_seed lock_confirmed_win: 軽量メタからロック制圧 #15,route_based,lock_confirmed_win,69,63,2,3,61,28,グスタフ 落城の計 拘束ループ,14,光単裁きの紋章Z(ND/Tier Current);自然単デンジャデオン(ND/Tier Current),水面護り ハコフ / 蓄積された魔力の縛り / 螺神兵ボロック / 貝獣 ホタッテ,12,seed内の役割が重複しすぎている可能性,水面護り ハコフ/蓄積された魔力の縛り -> 螺神兵ボロック -> 貝獣 ホタッテ -> lock_confirmed_win (opponent_action_lock:+2 / disruption:+2 / defense:+1 / win_progress:+1),サーチ/ドロー;ロック後の勝ち手段,access_to_seed;post_lock_payoff,研究検証候補です。 ただしスコア上限理由があります: 既知コンボ類似度が20未満で、構造接続が未確認;lock_confirmed_winだが完全ロックかは未確認;再現性スコアが中程度;不足補助役割が残っている。 カード間の実接続、フォーマット適合、環境対面を確認してください。,route_seed_generator v1。plan=軽量メタからロック制圧。平均コスト=1.00 / 最大コスト=1。この候補は保存前にroute_candidate_evaluatorで現実補正してください。,1.0,グスタフ 落城の計 拘束ループとの共通点は限定的です。 pattern_type=ループ / seed=水面護り ハコフ / 蓄積された魔力の縛り / 螺神兵ボロック / 貝獣 ホタッテ。ロック/制圧方向は既知構造に近い一方、seedカードの接続順や盤面リセットからロックへ向かう点が差分です。,ループ,1,光単裁きの紋章Zはカウンター系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。 / 自然単デンジャデオンはビッグマナ系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。,90,既知コンボ類似度が20未満で、構造接続が未確認;lock_confirmed_winだが完全ロックかは未確認;再現性スコアが中程度;不足補助役割が残っている,水面護り ハコフ/蓄積された魔力の縛り / 螺神兵ボロック / 貝獣 ホタッテ,True,"[{'deck_name': '光単裁きの紋章Z', 'format': 'ND', 'tier': 'Current', 'deck_type': 'カウンター', 'meta_hit_score': 18, 'meta_hit_reason': '光単裁きの紋章Zはカウンター系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。'}, {'deck_name': '自然単デンジャデオン', 'format': 'ND', 'tier': 'Current', 'deck_type': 'ビッグマナ', 'meta_hit_score': 18, 'meta_hit_reason': '自然単デンジャデオンはビッグマナ系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。'}]"
route_seed lock_confirmed_win: 軽量メタからロック制圧 #31,route_based,lock_confirmed_win,69,63,2,3,61,28,グスタフ 落城の計 拘束ループ,14,光単裁きの紋章Z(ND/Tier Current);自然単デンジャデオン(ND/Tier Current),怪魔城 ポチョムキン / 封魔ウェバリス / 水面護り ハコフ / 蓄積された魔力の縛り,12,seed内の役割が重複しすぎている可能性,怪魔城 ポチョムキン -> 封魔ウェバリス -> 水面護り ハコフ/蓄積された魔力の縛り -> lock_confirmed_win (opponent_action_lock:+2 / disruption:+2 / defense:+1 / win_progress:+1),サーチ/ドロー;ロック後の勝ち手段,access_to_seed;post_lock_payoff,研究検証候補です。 ただしスコア上限理由があります: 既知コンボ類似度が20未満で、構造接続が未確認;lock_confirmed_winだが完全ロックかは未確認;再現性スコアが中程度;不足補助役割が残っている。 カード間の実接続、フォーマット適合、環境対面を確認してください。,route_seed_generator v1。plan=軽量メタからロック制圧。平均コスト=1.00 / 最大コスト=1。この候補は保存前にroute_candidate_evaluatorで現実補正してください。,1.0,グスタフ 落城の計 拘束ループとの共通点は限定的です。 pattern_type=ループ / seed=怪魔城 ポチョムキン / 封魔ウェバリス / 水面護り ハコフ / 蓄積された魔力の縛り。ロック/制圧方向は既知構造に近い一方、seedカードの接続順や盤面リセットからロックへ向かう点が差分です。,ループ,1,光単裁きの紋章Zはカウンター系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。 / 自然単デンジャデオンはビッグマナ系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。,90,既知コンボ類似度が20未満で、構造接続が未確認;lock_confirmed_winだが完全ロックかは未確認;再現性スコアが中程度;不足補助役割が残っている,怪魔城 ポチョムキン / 封魔ウェバリス / 水面護り ハコフ/蓄積された魔力の縛り,True,"[{'deck_name': '光単裁きの紋章Z', 'format': 'ND', 'tier': 'Current', 'deck_type': 'カウンター', 'meta_hit_score': 18, 'meta_hit_reason': '光単裁きの紋章Zはカウンター系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。'}, {'deck_name': '自然単デンジャデオン', 'format': 'ND', 'tier': 'Current', 'deck_type': 'ビッグマナ', 'meta_hit_score': 18, 'meta_hit_reason': '自然単デンジャデオンはビッグマナ系です。呪文ロック・攻撃制限・行動制限が刺さる可能性があります。ただし成立ターンが遅い場合、速攻/ビートには間に合いません。'}]"
