character,order,speaker_name,style_name,style_id,file,text,notes
ナレーション,1,阿井田 茂,ノーマル,1310138976,ナレーション_01_阿井田_茂_ノーマル_1310138976.wav,国道沿いのコンビニは、冷蔵ケースの低い音だけでできているみたいに静かだった。世界が少しだけ救われても、夜勤は終わらない。,標準男性ナレ候補(新)
ナレーション,2,阿井田 茂,Far,1310138978,ナレーション_02_阿井田_茂_Far_1310138978.wav,国道沿いのコンビニは、冷蔵ケースの低い音だけでできているみたいに静かだった。世界が少しだけ救われても、夜勤は終わらない。,遠景の語り候補(新)
ナレーション,3,澤原 玄二郎,ノーマル,2029042368,ナレーション_03_澤原_玄二郎_ノーマル_2029042368.wav,国道沿いのコンビニは、冷蔵ケースの低い音だけでできているみたいに静かだった。世界が少しだけ救われても、夜勤は終わらない。,中年男性ナレ候補(新)
ナレーション,4,澤原 玄二郎,close,2029042369,ナレーション_04_澤原_玄二郎_close_2029042369.wav,国道沿いのコンビニは、冷蔵ケースの低い音だけでできているみたいに静かだった。世界が少しだけ救われても、夜勤は終わらない。,近接ナレ候補(新)
ナレーション,5,まお,おちつき,888753763,ナレーション_05_まお_おちつき_888753763.wav,国道沿いのコンビニは、冷蔵ケースの低い音だけでできているみたいに静かだった。世界が少しだけ救われても、夜勤は終わらない。,落ち着いた女性ナレ候補(新)
ナレーション,6,コハク,ノーマル,1878365376,ナレーション_06_コハク_ノーマル_1878365376.wav,国道沿いのコンビニは、冷蔵ケースの低い音だけでできているみたいに静かだった。世界が少しだけ救われても、夜勤は終わらない。,低温女性ナレ候補(新)
ナレーション,7,桜音,ノーマル,376644064,ナレーション_07_桜音_ノーマル_376644064.wav,国道沿いのコンビニは、冷蔵ケースの低い音だけでできているみたいに静かだった。世界が少しだけ救われても、夜勤は終わらない。,透明感ナレ候補(新)
ナレーション,8,M1,ノーマル,2051283136,ナレーション_08_M1_ノーマル_2051283136.wav,国道沿いのコンビニは、冷蔵ケースの低い音だけでできているみたいに静かだった。世界が少しだけ救われても、夜勤は終わらない。,M1(男声1)をナレ枠で試す(新・指定)
ナレーション,9,M2,ノーマル,1368642336,ナレーション_09_M2_ノーマル_1368642336.wav,国道沿いのコンビニは、冷蔵ケースの低い音だけでできているみたいに静かだった。世界が少しだけ救われても、夜勤は終わらない。,M2(男声2)をナレ枠で試す(新・指定)
ナレーション,10,Shinjou Tomoharu,ノーマル,562825248,ナレーション_10_Shinjou_Tomoharu_ノーマル_562825248.wav,国道沿いのコンビニは、冷蔵ケースの低い音だけでできているみたいに静かだった。世界が少しだけ救われても、夜勤は終わらない。,Shinjou Tomoharuをナレ枠で試す(新・指定)
タクミ,1,らせつん,標準２,893625030,タクミ_01_らせつん_標準２_893625030.wav,エリさん、僕の時給で扱っていい数字じゃないです。世界の分岐を電子レンジに入れないでください。,別標準の青年候補(新)
タクミ,2,らせつん,喜び,893625025,タクミ_02_らせつん_喜び_893625025.wav,エリさん、僕の時給で扱っていい数字じゃないです。世界の分岐を電子レンジに入れないでください。,テンション高め候補(新)
タクミ,3,らせつん,驚き,893625031,タクミ_03_らせつん_驚き_893625031.wav,エリさん、僕の時給で扱っていい数字じゃないです。世界の分岐を電子レンジに入れないでください。,驚き強め候補(新)
タクミ,4,阿井田 茂,ノーマル,1310138976,タクミ_04_阿井田_茂_ノーマル_1310138976.wav,エリさん、僕の時給で扱っていい数字じゃないです。世界の分岐を電子レンジに入れないでください。,落ち着き青年候補(新)
タクミ,5,阿井田 茂,Surprise,1310138982,タクミ_05_阿井田_茂_Surprise_1310138982.wav,エリさん、僕の時給で扱っていい数字じゃないです。世界の分岐を電子レンジに入れないでください。,驚き顔候補(新)
タクミ,6,阿井田 茂,Shout,1310138981,タクミ_06_阿井田_茂_Shout_1310138981.wav,エリさん、僕の時給で扱っていい数字じゃないです。世界の分岐を電子レンジに入れないでください。,全力ツッコミ確認(新)
タクミ,7,ろてじん（匿名インタビュー風）,ノーマル,1805828384,タクミ_07_ろてじん_匿名インタビュー風_ノーマル_1805828384.wav,エリさん、僕の時給で扱っていい数字じゃないです。世界の分岐を電子レンジに入れないでください。,飄々ツッコミ候補(新)
エリ,1,まい,ノーマル,1431611904,エリ_01_まい_ノーマル_1431611904.wav,捨てるものと食べていいものの間には、店長という深い谷がある。こちらの商品、温めますか。,新規女性・淡々候補(新)
エリ,2,花音,ノーマル,1325133120,エリ_02_花音_ノーマル_1325133120.wav,捨てるものと食べていいものの間には、店長という深い谷がある。こちらの商品、温めますか。,新規女性・落ち着き候補(新)
エリ,3,るな,ノーマル,345585728,エリ_03_るな_ノーマル_345585728.wav,捨てるものと食べていいものの間には、店長という深い谷がある。こちらの商品、温めますか。,新規女性・低温候補(新)
エリ,4,まお,ノーマル,888753760,エリ_04_まお_ノーマル_888753760.wav,捨てるものと食べていいものの間には、店長という深い谷がある。こちらの商品、温めますか。,標準女性候補(新)
エリ,5,まお,せつなめ,888753765,エリ_05_まお_せつなめ_888753765.wav,捨てるものと食べていいものの間には、店長という深い谷がある。こちらの商品、温めますか。,憂い低温候補(新)
エリ,6,コハク,せつなめ,1878365378,エリ_06_コハク_せつなめ_1878365378.wav,捨てるものと食べていいものの間には、店長という深い谷がある。こちらの商品、温めますか。,クール低温候補(新)
エリ,7,ほのか(~現実20代女子AIボイチェン~リアボVC公式モデル),kanasimi_kanasimi,808373281,エリ_07_ほのか_現実20代女子AIボイチェン_リアボVC公式モデル_kanasimi_kanasimi_808373281.wav,捨てるものと食べていいものの間には、店長という深い谷がある。こちらの商品、温めますか。,抑えた低温候補(新)
エリ,8,中2,ノーマル,604166016,エリ_08_中2_ノーマル_604166016.wav,捨てるものと食べていいものの間には、店長という深い谷がある。こちらの商品、温めますか。,中2をエリ枠で試す(新・指定)
エリ,9,F1,ノーマル,1236214272,エリ_09_F1_ノーマル_1236214272.wav,捨てるものと食べていいものの間には、店長という深い谷がある。こちらの商品、温めますか。,F1(女声1)をエリ枠で試す(新・指定)
エリ,10,F2,ノーマル,1670137088,エリ_10_F2_ノーマル_1670137088.wav,捨てるものと食べていいものの間には、店長という深い谷がある。こちらの商品、温めますか。,F2(女声2)をエリ枠で試す(新・指定)
第十三レジ,1,阿井田 茂,ノーマル,1310138976,第十三レジ_01_阿井田_茂_ノーマル_1310138976.wav,警告。この商品は未来の食糧危機解決候補です。誤返品により人類生存率が三・二パーセント低下します。,無機質案内候補(新)
第十三レジ,2,阿井田 茂,Far,1310138978,第十三レジ_02_阿井田_茂_Far_1310138978.wav,警告。この商品は未来の食糧危機解決候補です。誤返品により人類生存率が三・二パーセント低下します。,遠い端末候補(新)
第十三レジ,3,阿井田 茂,Mid,1310138980,第十三レジ_03_阿井田_茂_Mid_1310138980.wav,警告。この商品は未来の食糧危機解決候補です。誤返品により人類生存率が三・二パーセント低下します。,中庸端末候補(新)
第十三レジ,4,澤原 玄二郎,ノーマル,2029042368,第十三レジ_04_澤原_玄二郎_ノーマル_2029042368.wav,警告。この商品は未来の食糧危機解決候補です。誤返品により人類生存率が三・二パーセント低下します。,端末音声候補(新)
第十三レジ,5,澤原 玄二郎,close,2029042369,第十三レジ_05_澤原_玄二郎_close_2029042369.wav,警告。この商品は未来の食糧危機解決候補です。誤返品により人類生存率が三・二パーセント低下します。,近接端末候補(新)
第十三レジ,6,fumifumi,ノーマル,606865152,第十三レジ_06_fumifumi_ノーマル_606865152.wav,警告。この商品は未来の食糧危機解決候補です。誤返品により人類生存率が三・二パーセント低下します。,中性端末候補(新)
第十三レジ,7,コハク,ノーマル,1878365376,第十三レジ_07_コハク_ノーマル_1878365376.wav,警告。この商品は未来の食糧危機解決候補です。誤返品により人類生存率が三・二パーセント低下します。,低温合成音候補(新)
未来の会社員,1,阿井田 茂,ノーマル,1310138976,未来の会社員_01_阿井田_茂_ノーマル_1310138976.wav,うちの課が試験販売前の商品を過去へ誤配送しまして。返品しないと始末書が増えます。会社員なので。,標準疲労会社員候補(新)
未来の会社員,2,阿井田 茂,Far,1310138978,未来の会社員_02_阿井田_茂_Far_1310138978.wav,うちの課が試験販売前の商品を過去へ誤配送しまして。返品しないと始末書が増えます。会社員なので。,力ない遠さ候補(新)
未来の会社員,3,阿井田 茂,Surprise,1310138982,未来の会社員_03_阿井田_茂_Surprise_1310138982.wav,うちの課が試験販売前の商品を過去へ誤配送しまして。返品しないと始末書が増えます。会社員なので。,控えめ動揺候補(新)
未来の会社員,4,澤原 玄二郎,far,2029042371,未来の会社員_04_澤原_玄二郎_far_2029042371.wav,うちの課が試験販売前の商品を過去へ誤配送しまして。返品しないと始末書が増えます。会社員なので。,疲れた距離候補(新)
未来の会社員,5,fumifumi,ノーマル,606865152,未来の会社員_05_fumifumi_ノーマル_606865152.wav,うちの課が試験販売前の商品を過去へ誤配送しまして。返品しないと始末書が増えます。会社員なので。,若め会社員候補(新)
未来の会社員,6,Lux,ノーマル,2031733024,未来の会社員_06_Lux_ノーマル_2031733024.wav,うちの課が試験販売前の商品を過去へ誤配送しまして。返品しないと始末書が増えます。会社員なので。,若め会社員候補2(新)
未来の会社員,7,猩々博士 (雑談ボイス),ノーマル,5306848,未来の会社員_07_猩々博士_雑談ボイス_ノーマル_5306848.wav,うちの課が試験販売前の商品を過去へ誤配送しまして。返品しないと始末書が増えます。会社員なので。,くたびれ中年候補(新)
未来の会社員,8,Shinjou Tomoharu,ノーマル,562825248,未来の会社員_08_Shinjou_Tomoharu_ノーマル_562825248.wav,うちの課が試験販売前の商品を過去へ誤配送しまして。返品しないと始末書が増えます。会社員なので。,Shinjou Tomoharuを会社員枠で試す(新・指定)
未来の会社員,9,M1,ノーマル,2051283136,未来の会社員_09_M1_ノーマル_2051283136.wav,うちの課が試験販売前の商品を過去へ誤配送しまして。返品しないと始末書が増えます。会社員なので。,M1を会社員枠で試す(新・指定)
座木山辰哉,1,阿井田 茂,ノーマル,1310138976,座木山辰哉_01_阿井田_茂_ノーマル_1310138976.wav,コピー、白黒でいいよ。色がつくと記憶が増えるから。昔の地図も、だいたい合ってなかったからなあ。,標準常連候補(新)
座木山辰哉,2,阿井田 茂,Mid,1310138980,座木山辰哉_02_阿井田_茂_Mid_1310138980.wav,コピー、白黒でいいよ。色がつくと記憶が増えるから。昔の地図も、だいたい合ってなかったからなあ。,中庸常連候補(新)
