no,id,cut,character,speaker_name,style_id,text,reading_hiragana,pause_ms
1,ep04_v001,ep04_vc01,ナレーション,澤原 玄二郎,2029042368,午前二時五分。コピー機が勝手に起動した。ウィーン。,ごぜんにじごふん。こぴーきがかってにきどうした。うぃーん。,400
2,ep04_v002,ep04_vc01,ナレーション,澤原 玄二郎,2029042368,タクミは床清掃機を押す手を止めた。,たくみワ、ゆかせいそうきをおすてをとめた。,300
3,ep04_v003,ep04_vc01,タクミ,にせ,1937616896,エリさん、コピー機が自己判断で働いてます,みなさん、こぴーきがじこはんだんではたらいてます。,250
4,ep04_v004,ep04_vc01,エリ,中2,604166016,偉いね,えらいね。,250
5,ep04_v005,ep04_vc01,タクミ,にせ,1937616896,褒める相手じゃないです,ほめるあいてじゃないです。,400
6,ep04_v006,ep04_vc02,ナレーション,澤原 玄二郎,2029042368,出てきた紙には、こう書かれていた。,でてきたかみにワ、こうかかれていた。,300
7,ep04_v007,ep04_vc02,ナレーション,澤原 玄二郎,2029042368,二時二十八分。唐揚げ棒を購入したお客様が怒ります。理由、揚げたてではないのに、心が熱かったため。,にじにじゅうはっぷん。からあげぼうをこうにゅうしたおきゃくさまがおこります。りゆう、あげたてでワないのに、こころがあつかったため。,500
8,ep04_v008,ep04_vc02,タクミ,にせ,1937616896,意味がわからない,いみがわからない。,400
9,ep04_v009,ep04_vc03,ナレーション,澤原 玄二郎,2029042368,エリはホットスナックケースを見た。,みなワ、ほっとすなっくけーすをみた。,300
10,ep04_v010,ep04_vc03,エリ,中2,604166016,未来クレーム,みらいくれーむ。,250
11,ep04_v011,ep04_vc03,タクミ,にせ,1937616896,ジャンルとして定着させないでください,じゃんるとして、ていちゃくさせないでください。,450
12,ep04_v012,ep04_vc04,ナレーション,澤原 玄二郎,2029042368,そこへ座木山辰哉がやって来た。眠そうな顔で、古いツーリング地図を抱えている。,そこエ、ざきやまたつやがやってきた。ねむそうなかおで、ふるいつーりんぐちずをかかえている。,400
13,ep04_v013,ep04_vc04,座木山辰哉,TANAKA,1628969216,コピー、使えるかい,こぴー、つかえるかい。,300
14,ep04_v014,ep04_vc04,タクミ,にせ,1937616896,今、未来からの苦情が印刷されています,いま、みらいからのくじょうがいんさつされています。,300
15,ep04_v015,ep04_vc04,座木山辰哉,TANAKA,1628969216,昔の地図も、行く前から道に怒られたもんだよ,むかしのちずも、いくまえからみちにおこられたもんだよ。,300
16,ep04_v016,ep04_vc04,タクミ,にせ,1937616896,道に怒られる人生って何ですか,みちにおこられるじんせいって、なんですか。,450
17,ep04_v017,ep04_vc05,ナレーション,澤原 玄二郎,2029042368,エリは紙を一枚コピー機の横に貼った。,みなワ、かみをいちまいこぴーきのよこにはった。,300
18,ep04_v018,ep04_vc05,エリ,中2,604166016,先に謝ればいい,さきにあやまればいい。,250
19,ep04_v019,ep04_vc05,タクミ,にせ,1937616896,発生前のクレームに？,はっせいまえのくれーむに？,300
20,ep04_v020,ep04_vc05,エリ,中2,604166016,接客は初動,せっきゃくワ、しょどう。,450
21,ep04_v021,ep04_vc06,ナレーション,澤原 玄二郎,2029042368,二時十七分。第十三レジが現れた。,にじじゅうななふん。だいじゅうさんれじがあらわれた。,400
22,ep04_v022,ep04_vc06,第十三レジ,ろてじん（匿名インタビュー風）,1805828384,未来クレーム予告を確認。原因、唐揚げ棒の温度とお客様の思い出の温度が不一致,みらいくれーむよこくをかくにん。げんいん、からあげぼうのおんどと、おきゃくさまのおもいでのおんどがふいっち。,500
23,ep04_v023,ep04_vc07,ナレーション,澤原 玄二郎,2029042368,タクミは両手を広げた。,たくみワ、りょうてをひろげた。,300
24,ep04_v024,ep04_vc07,タクミ,にせ,1937616896,思い出の温度って検温できるんですか,おもいでのおんどって、けんおんできるんですか。,450
25,ep04_v025,ep04_vc08,ナレーション,澤原 玄二郎,2029042368,汗田も入ってきた。ナビに呼ばれたらしい。,あせだもはいってきた。なびによばれたらしい。,300
26,ep04_v026,ep04_vc08,汗田竜司,阿井田 茂,1310138976,これは未来のクレーム処理ログだ。現象というより、記録の先出しだな,これワ、みらいのくれーむしょりろぐだ。げんしょうというより、きろくのさきだしだな。,500
27,ep04_v027,ep04_vc09,タクミ,にせ,1937616896,先に謝れば防げますか,さきにあやまればふせげますか。,300
28,ep04_v028,ep04_vc09,汗田竜司,阿井田 茂,1310138976,謝罪だけではログの因果が固定される恐れがある,しゃざいだけでワ、ろぐのいんががこていされるおそれがある。,350
29,ep04_v029,ep04_vc09,タクミ,にせ,1937616896,難しく言ってますけど、謝りすぎもダメってことですね,むずかしくいってますけど、あやまりすぎもだめってことですね。,450
30,ep04_v030,ep04_vc10,ナレーション,澤原 玄二郎,2029042368,エリはホットスナックケースを開けた。唐揚げ棒が一本、小さく震えている。紙の旗には、まだ怒られていません、と書かれていた。,みなワ、ほっとすなっくけーすをあけた。からあげぼうがいっぽん、ちいさくふるえている。かみのはたにワ、まだおこられていません、とかかれていた。,450
31,ep04_v031,ep04_vc10,タクミ,にせ,1937616896,商品が先に謝ってる,しょうひんがさきにあやまってる。,450
32,ep04_v032,ep04_vc11,第十三レジ,ろてじん（匿名インタビュー風）,1805828384,未来本部マニュアルを表示します。Q、未来のクレームが印刷された場合。A、まず挨拶してください,みらいほんぶまにゅあるをひょうじします。きゅー、みらいのくれーむがいんさつされたばあい。えー、まずあいさつしてください。,400
33,ep04_v033,ep04_vc11,タクミ,にせ,1937616896,そこから！？,そこから！？,250
34,ep04_v034,ep04_vc11,エリ,中2,604166016,接客の基本,せっきゃくのきほん。,450
35,ep04_v035,ep04_vc12,ナレーション,澤原 玄二郎,2029042368,二時二十八分。自動ドアが開き、眠そうなトラック運転手が入ってきた。,にじにじゅうはっぷん。じどうどあがひらき、ねむそうなとらっくうんてんしゅがはいってきた。,400
36,ep04_v036,ep04_vc12,トラック運転手,M2,1368642336,唐揚げ棒、ひとつ,からあげぼう、ひとつ。,300
37,ep04_v037,ep04_vc12,ナレーション,澤原 玄二郎,2029042368,タクミは身構えた。,たくみワ、みがまえた。,300
38,ep04_v038,ep04_vc13,タクミ,にせ,1937616896,いらっしゃいませ。唐揚げ棒ですね。現在、揚げたてではありませんが、気持ちは熱めです,いらっしゃいませ。からあげぼうですね。げんざい、あげたてでワありませんが、きもちワあつめです。,400
39,ep04_v039,ep04_vc13,トラック運転手,M2,1368642336,気持ち？,きもち？,250
40,ep04_v040,ep04_vc13,タクミ,にせ,1937616896,いえ、商品説明が少し未来寄りで,いえ、しょうひんせつめいがすこしみらいよりで。,450
41,ep04_v041,ep04_vc14,ナレーション,澤原 玄二郎,2029042368,運転手は唐揚げ棒を受け取り、一口食べた。,うんてんしゅワ、からあげぼうをうけとり、ひとくちたべた。,350
42,ep04_v042,ep04_vc14,トラック運転手,M2,1368642336,昔、夜中に食ったやつ思い出すな,むかし、よなかにくったやつおもいだすな。,400
43,ep04_v043,ep04_vc14,ナレーション,澤原 玄二郎,2029042368,タクミは紙を見た。心が熱かったため、の意味が少しわかった。,たくみワ、かみをみた。こころがあつかったため、のいみがすこしわかった。,450
44,ep04_v044,ep04_vc15,ナレーション,澤原 玄二郎,2029042368,エリは静かに言った。,みなワ、しずかにいった。,300
45,ep04_v045,ep04_vc15,エリ,中2,604166016,袋、お付けしますか,ふくろ、おつけしますか。,300
46,ep04_v046,ep04_vc15,トラック運転手,M2,1368642336,いや、すぐ食べる,いや、すぐたべる。,300
47,ep04_v047,ep04_vc15,エリ,中2,604166016,ありがとうございます,ありがとうございます。,450
48,ep04_v048,ep04_vc16,ナレーション,澤原 玄二郎,2029042368,運転手は怒らなかった。レジ横のコピー機が、満足そうに静かになった。,うんてんしゅワ、おこらなかった。れじよこのこぴーきが、まんぞくそうにしずかになった。,400
49,ep04_v049,ep04_vc16,第十三レジ,ろてじん（匿名インタビュー風）,1805828384,未来クレーム、発生回避。ただし、未使用の謝罪が一件残っています,みらいくれーむ、はっせいかいひ。ただし、みしようのしゃざいがいっけんのこっています。,450
50,ep04_v050,ep04_vc17,タクミ,にせ,1937616896,謝罪って在庫になるんですか,しゃざいって、ざいこになるんですか。,300
51,ep04_v051,ep04_vc17,ナレーション,澤原 玄二郎,2029042368,エリはタクミを見た。,みなワ、たくみをみた。,250
52,ep04_v052,ep04_vc17,エリ,中2,604166016,取っておく？,とっておく？,300
53,ep04_v053,ep04_vc17,タクミ,にせ,1937616896,返品でお願いします,へんぴんでおねがいします。,350
54,ep04_v054,ep04_vc17,第十三レジ,ろてじん（匿名インタビュー風）,1805828384,未使用謝罪を時空返品します,みしようしゃざいを、じくうへんぴんします。,500
55,ep04_v055,ep04_vc18,ナレーション,澤原 玄二郎,2029042368,レシートが印字された。,れしーとがいんじされた。,400
56,ep04_v056,ep04_vc18,ナレーション,澤原 玄二郎,2029042368,タクミは最後の二行で止まった。,たくみワ、さいごのにぎょうでとまった。,300
57,ep04_v057,ep04_vc18,タクミ,にせ,1937616896,返品済み青年って、第1話の未来の会社員ですよね,へんぴんずみせいねんって、だいいちわのみらいのかいしゃいんですよね。,500
58,ep04_v058,ep04_vc19,ナレーション,澤原 玄二郎,2029042368,汗田はレシートを受け取り、黙って首元の絆創膏の記憶を思い出した。,あせだワ、れしーとをうけとり、だまってくびもとのばんそうこうのきおくをおもいだした。,400
59,ep04_v059,ep04_vc19,汗田竜司,阿井田 茂,1310138976,ただのクレーム回では終わらないらしい,ただのくれーむかいでワ、おわらないらしい。,400
60,ep04_v060,ep04_vc19,ナレーション,澤原 玄二郎,2029042368,座木山はコピー機から自分の地図を取り出した。,ざきやまワ、こぴーきからじぶんのちずをとりだした。,300
61,ep04_v061,ep04_vc19,座木山辰哉,TANAKA,1628969216,白黒でよかった。色がつくと、思い出しすぎる,しろくろでよかった。いろがつくと、おもいだしすぎる。,500
62,ep04_v062,ep04_vc20,ナレーション,澤原 玄二郎,2029042368,タクミはマニュアルに書き足した。,たくみワ、まにゅあるにかきたした。,300
63,ep04_v063,ep04_vc20,ナレーション,澤原 玄二郎,2029042368,コピー機の予告は半分だけ信じる。でも唐揚げ棒は普通に売る。,こぴーきのよこくワ、はんぶんだけしんじる。でも、からあげぼうワ、ふつうにうる。,800
