cut,section,estimated_sec,visual,voice_focus,notes
ep01_001,深夜の通常業務,5,雨の国道沿いにある深夜コンビニ外観,ナレーション,冒頭。環境音を長めに置く
ep01_002,深夜の通常業務,5,誰もいない店内通路と冷蔵ケース,ナレーション,冷蔵ケース音
ep01_003,深夜の通常業務,4,午前2時3分を指す店内時計,ナレーション,時間提示
ep01_004,深夜の通常業務,6,おにぎり棚の前でシールを見るタクミ,ナレーション,新人夜勤バイト紹介
ep01_005,深夜の通常業務,5,タクミがおにぎりを見ながらミナに話す,タクミ,廃棄おにぎり会話開始
ep01_006,深夜の通常業務,4,無表情のミナの横顔,ミナ,食べていいとは言ってない
ep01_007,深夜の通常業務,4,タクミの軽い反論,タクミ,でも捨てるんですよね
ep01_008,深夜の通常業務,6,ミナが淡々と説明する,ミナ,店長という深い谷
ep01_009,深夜の通常業務,4,タクミのツッコミ顔,タクミ,現実的に深い
ep01_010,深夜の通常業務,5,ミナが腕時計を見る,ミナ,二時十五分、雑誌返品
ep01_011,第十三レジ出現,4,タクミが聞き返す,タクミ,はい、はい？
ep01_012,第十三レジ出現,4,店内の蛍光灯が一度だけ瞬く,SE,ぱちん
ep01_013,第十三レジ出現,6,雑誌棚とコピー機の間の暗がり,ナレーション,レジ出現前
ep01_014,第十三レジ出現,6,銀色の古いレジが現れる,ナレーション,イベントCG
ep01_015,第十三レジ出現,5,第十三レジの液晶が赤く光る,第十三レジ,ただいま営業中
ep01_016,第十三レジ出現,4,タクミが固まる,タクミ,増えた
ep01_017,第十三レジ出現,4,ミナが当然のように返す,ミナ,増えるよ
ep01_018,第十三レジ出現,5,タクミがレジとミナを見比べる,タクミ,夜になるとレジが増えるんですか
ep01_019,第十三レジ出現,5,ミナがレジ横に立つ,ミナ,夜勤はだいたいそう
ep01_020,未来の返品客,5,自動ドアの外に雨で濡れた人影,SE,自動ドア音
ep01_021,未来の返品客,6,くたびれたスーツ姿の未来の会社員が入店,ナレーション,肩の液晶と首元タグ
ep01_022,未来の返品客,4,会社員が頭を下げる,未来の会社員,返品お願いします
ep01_023,未来の返品客,4,ミナの通常接客,ミナ,レシートはお持ちですか
ep01_024,未来の返品客,5,会社員の疲れた顔,未来の会社員,五十年後に発行されます
ep01_025,未来の返品客,4,タクミがミナに小声で聞く,タクミ,対応マニュアルあります？
ep01_026,未来の返品客,4,ミナが教育係として返す,ミナ,まず、いらっしゃいませ
ep01_027,未来の返品客,5,会社員が袋からおにぎりを出す,ナレーション,未来商品提示
ep01_028,未来の返品客,6,完全栄養おにぎり・思い出の鮭のアップ,ナレーション,2074年製
ep01_029,人類生存率と始末書,6,第十三レジの警告表示,第十三レジ,未来の食糧危機解決候補
ep01_030,人類生存率と始末書,6,青白い光を浴びるタクミ,第十三レジ,人類生存率三・二パーセント低下
ep01_031,人類生存率と始末書,5,タクミの困惑アップ,タクミ,時給で扱っていい数字じゃない
ep01_032,人類生存率と始末書,6,未来の会社員が深く頭を下げる,未来の会社員,過去へ誤配送
ep01_033,人類生存率と始末書,5,会社員の疲れた手元,未来の会社員,始末書が増えます
ep01_034,人類生存率と始末書,4,タクミの呆れ顔,タクミ,人類より始末書
ep01_035,人類生存率と始末書,4,会社員の真顔,未来の会社員,会社員なので
ep01_036,人類生存率と始末書,5,第十三レジの返品メニュー,ナレーション,通常返品、時空返品、存在取消
ep01_037,人類生存率と始末書,4,タクミが店長呼出を見つける,タクミ,店長呼出があります
ep01_038,人類生存率と始末書,4,ミナが即答する,ミナ,押さない
ep01_039,人類生存率と始末書,5,第十三レジの残り時間表示,第十三レジ,残り時間、三分
ep01_040,人類生存率と始末書,6,商品が現代店舗に定着するイメージ,第十三レジ,仕入れ原価七万二千円
ep01_041,温めますか,4,タクミとミナが即座に返品を決める,タクミ,返品しましょう
ep01_042,温めますか,5,ミナがおにぎりを手に取る,ミナ,こちらの商品、温めますか
ep01_043,温めますか,4,タクミが反射的に叫ぶ,タクミ,この状況で！？
ep01_044,温めますか,4,会社員が切実に頼む,未来の会社員,お願いします
ep01_045,温めますか,5,電子レンジに入れられる未来おにぎり,タクミ,世界の分岐を電子レンジに
ep01_046,温めますか,6,電子レンジが青白く唸る,SE,レンジ駆動音
ep01_047,温めますか,8,電子レンジ内に未来の食堂が映る,ナレーション,感情の山場
ep01_048,温めますか,6,空っぽの棚と長い列の未来食堂,ナレーション,食糧危機の気配
ep01_049,温めますか,6,子どもがおにぎりを持って笑う,ナレーション,温かい絵
ep01_050,温めますか,5,会社員が息を呑む,未来の会社員,開発記録です
ep01_051,温めますか,5,第十三レジが処理完了を告げる,第十三レジ,時空状態が安定
ep01_052,温めますか,5,ミナが履歴メモを入力する,第十三レジ,履歴メモを入力
ep01_053,温めますか,5,ミナの静かな横顔,ミナ,ちゃんと作った方がいいです
ep01_054,温めますか,4,タクミのツッコミ,タクミ,ざっくり！
ep01_055,温めますか,4,第十三レジが記録完了,第十三レジ,記録しました
ep01_056,温めますか,5,タクミがレジを見る,タクミ,通るんだ！
ep01_057,温めますか,6,第十三レジの無機質な表示,第十三レジ,未来とは雑なメモの積み重ね
ep01_058,レシートオチ,6,時空返品完了のレジ画面,ナレーション,返金額百六十八円
ep01_059,レシートオチ,5,会社員が現金を受け取る,ナレーション,現実の会計へ戻る
ep01_060,レシートオチ,5,会社員がホットコーヒーを買う,未来の会社員,未来のコーヒー高いので
ep01_061,レシートオチ,4,タクミの脱力顔,タクミ,未来、行きたくないな
ep01_062,レシートオチ,5,午前2時20分の時計,ナレーション,第十三レジ消失前
ep01_063,レシートオチ,6,第十三レジが青白い光とともに消える,SE,消失音
ep01_064,レシートオチ,8,残ったレシートのアップ,ナレーション,時空返品、歴史メモ、人類生存率微増
ep01_065,レシートオチ,5,スタッフ割引対象外の印字,タクミ,最後が一番現実的だ
ep01_066,夜勤は終わらない,5,自動ドアがまた開く,SE,日常へ戻る音
ep01_067,夜勤は終わらない,6,座木山辰哉が古いツーリング地図を抱えて入る,ナレーション,常連客紹介
ep01_068,夜勤は終わらない,5,座木山がコピー機へ向かう,座木山辰哉,白黒でいいよ
